Word	Havg	StDev	FrqList
لسانيات	2311	6.34	1.2554	2602
شمسي	2312	6.34	1.1178	2847
گہوارہ	2313	6.34	1.2224	7976
دكان	2314	6.34	1.1178	6824
سروس	2315	6.34	1.0994	2303
بابا	2316	6.34	1.6239	2665
نوري	2317	6.34	1.2056	3542
تجارتي	2318	6.34	1.5066	901
انجم	2319	6.34	1.3940	6079
استقامت	2320	6.34	1.0616	8445
رياض	2321	6.32	1.1856	2971
پونڈ	2322	6.32	1.3161	8746
البلد	2323	6.32	1.2688	7845
نامہ	2324	6.32	1.2362	1447
ہمسايہ	2325	6.32	1.1856	6403
روزگاري	2326	6.32	1.2362	6121
فاصلہ	2327	6.32	1.5576	1728
سب	2328	6.32	1.0774	51
نظارہ	2329	6.32	1.1328	5278
مساوي	2330	6.32	1.4348	3044
پينے	2331	6.32	1.4205	2366
مون	2332	6.32	1.0388	5686
مصنفين	2333	6.32	1.3161	3275
غازي	2334	6.32	1.5706	2410
پہچاني	2335	6.32	1.1328	9814
بادلوں	2336	6.32	1.0583	8720
تشخيص	2337	6.32	1.2196	4621
بندہ	2338	6.32	1.1856	3861
پہن	2339	6.32	1.2027	5085
بحرالكاہل	2340	6.32	1.2362	7856
كاغذ	2341	6.32	1.4490	3057
وصول	2342	6.32	1.1683	2261
ايكسپريس	2343	6.32	1.1507	5893
تفاصيل	2344	6.32	1.1147	9826
نيلا	2345	6.32	1.2027	5055
اٹھارويں	2346	6.32	1.1328	3888
ربيع	2347	6.32	1.1856	2943
پڑھتا	2348	6.32	1.5836	6555
اتحادي	2349	6.32	1.2526	2628
بہت	2350	6.32	1.0962	75
اصطلاحي	2351	6.32	1.1328	6417
خداداد	2352	6.32	1.4769	6575
فارس	2353	6.32	1.2526	1988
شوخ	2354	6.32	1.1147	8128
مكتبہ	2355	6.32	1.4348	3643
نقاب	2356	6.32	1.4061	4395
بياہ	2357	6.32	1.8232	7543
تحقيقي	2358	6.32	1.5043	2228
عادل	2359	6.32	1.5576	4084
قلمي	2360	6.32	0.9988	3531
مستحق	2361	6.32	1.0388	3022
تسليم	2362	6.32	1.2526	591
قالب	2363	6.32	1.2688	9653
قربت	2364	6.32	1.3468	5258
نظرياتي	2365	6.32	1.2196	2659
المركز	2366	6.32	1.1507	9479
مجمع	2367	6.32	1.3316	1970
ٹرانسپورٹ	2368	6.32	1.6714	6330
ميچ	2369	6.32	1.3005	3854
صحبت	2370	6.32	1.2027	3807
جديد	2371	6.32	1.2027	356
ممبر	2372	6.32	1.0388	2916
شكيل	2373	6.32	1.4348	7273
ميزباني	2374	6.32	1.2196	4984
نظامي	2375	6.32	1.1328	3644
جماعتي	2376	6.32	1.3468	5554
پہلي	2377	6.32	1.1507	172
پاوں	2378	6.32	1.1507	2422
ولادت	2379	6.32	1.5706	336
معرفت	2380	6.32	1.4490	4868
منازل	2381	6.32	1.3915	5432
فصلوں	2382	6.32	1.3468	5757
فوجيں	2383	6.32	1.2027	3731
تقويم	2384	6.32	1.2196	3681
ملحقہ	2385	6.32	1.1856	2759
سرما	2386	6.32	1.0190	3840
سبزي	2387	6.32	1.0190	5028
تلفظ	2388	6.32	1.0962	2229
مينار	2389	6.32	1.1856	2259
عالمي	2390	6.32	1.1683	338
شايقين	2391	6.32	1.1147	7433
غسل	2392	6.32	1.3619	4967
مشاہدے	2393	6.32	1.1147	4142
يادوں	2394	6.32	1.3468	9447
شاہكار	2395	6.32	1.2688	2891
لفظ	2396	6.32	1.2362	218
معاويہ	2397	6.32	1.6956	3098
انجمن	2398	6.32	1.3005	1621
سالميت	2399	6.32	1.3768	9344
گھرانہ	2400	6.32	1.1507	7798
سماجي	2401	6.32	1.3468	1059
روبرو	2402	6.32	1.2526	9897
دفاعي	2403	6.32	1.2848	3558
كنٹرول	2404	6.32	1.4205	2162
بنيادوں	2405	6.32	1.2848	2035
اثاثہ	2406	6.32	1.3468	7331
تكنيك	2407	6.32	1.1147	4836
تقدس	2408	6.32	1.3468	6809
ساتھي	2409	6.32	1.3619	2027
صلے	2410	6.32	1.1147	5928
منصفانہ	2411	6.32	1.3161	7491
مستفيد	2412	6.32	0.9781	7654
فقہاء	2413	6.32	1.7548	7783
ٹيكنيكل	2414	6.32	1.3619	9304
ساحل	2415	6.32	1.2526	1089
فوجداري	2416	6.32	1.3005	9383
غزالي	2417	6.32	1.2196	5656
عرس	2418	6.32	1.3619	8141
فتوي	2419	6.32	1.4205	4479
بحريہ	2420	6.32	1.0774	3291
سكرين	2421	6.32	1.2027	6838
ثقافتوں	2422	6.32	1.3316	5465
سنوارنے	2423	6.32	1.3619	9081
تاكيد	2424	6.32	1.0583	4834
كورس	2425	6.32	0.9570	6734
بابري	2426	6.32	1.3161	9497
جوابات	2427	6.32	1.2362	6016
سات	2428	6.32	1.1147	617
احمديہ	2429	6.32	1.5178	8943
نقشے	2430	6.32	1.2848	3581
نواح	2431	6.32	1.2526	3344
ميسر	2432	6.32	1.1147	2545
ايشيايي	2433	6.32	1.3316	1632
بورڈ	2434	6.32	1.1147	2023
ديكھنا	2435	6.32	0.9570	2408
افعانستان	2436	6.32	1.2848	9226
مفادات	2437	6.32	1.0190	4258
علامتي	2438	6.32	1.0388	6605
فياضي	2439	6.32	1.3005	9101
حاكميت	2440	6.32	1.6956	8084
نيازي	2441	6.32	1.1507	5279
پيشوا	2442	6.32	1.1683	4568
اشرف	2443	6.32	1.3619	2877
انتخابات	2444	6.32	1.2027	536
تصويريں	2445	6.32	0.9134	4413
اجناس	2446	6.32	1.1328	5371
اجتماعات	2447	6.32	1.1147	9458
فلسفي	2448	6.32	1.1147	1960
قرارداد	2449	6.32	1.0190	4299
سنگاپور	2450	6.32	1.6956	4526
اضافہ	2451	6.32	1.1683	510
اسد	2452	6.32	1.6092	3126
پيروكاروں	2453	6.32	1.3468	4233
تجويد	2454	6.32	1.2027	9542
عشروں	2455	6.32	1.1147	9954
پسندانہ	2456	6.32	1.1683	6681
لايق	2457	6.32	0.9781	3851
سوفٹ	2458	6.32	1.3005	9928
اگلا	2459	6.32	1.0962	5788
تحقيقات	2460	6.32	1.1683	1985
نسب	2461	6.32	1.0962	2060
عباسيہ	2462	6.32	1.3316	5251
سينير	2463	6.32	1.3005	5647
پتے	2464	6.32	1.2688	3228
ناموں	2465	6.32	1.1328	1889
يہاں	2466	6.32	1.2526	120
حكمران	2467	6.32	1.4769	774
بيٹھنا	2468	6.32	1.2688	6931
نگر	2469	6.32	1.2362	2442
قصہ	2470	6.30	1.2164	2435
صنعتي	2471	6.30	1.1650	1375
تاروں	2472	6.30	1.2495	7378
وفاقي	2473	6.30	1.2330	1228
اصرار	2474	6.30	1.0738	3546
قريش	2475	6.30	1.6320	2050
يكم	2476	6.30	1.2164	1260
تنظيم	2477	6.30	1.0546	742
چشتياں	2478	6.30	1.0546	9563
بيشمار	2479	6.30	1.3132	9520
بدن	2480	6.30	1.3132	4070
پناہ	2481	6.30	1.2330	1057
ذہن	2482	6.30	1.2976	1373
يكتا	2483	6.30	1.3590	8216
كشش	2484	6.30	1.2976	2218
نايب	2485	6.30	1.2330	1511
اقدامات	2486	6.30	1.0152	2262
البروج	2487	6.30	1.1294	9474
مصور	2488	6.30	1.3439	3378
ثريا	2489	6.30	1.1650	9013
ميٹنگ	2490	6.30	1.2657	9436
ذات	2491	6.30	1.6568	1255
سيكريٹري	2492	6.30	1.0738	6358
نوش	2493	6.30	1.2976	5195
ايكشن	2494	6.30	1.5017	6790
اہتمام	2495	6.30	1.4178	2056
حماد	2496	6.30	1.3887	9860
رزميہ	2497	6.30	1.1995	8798
بھلايي	2498	6.30	1.3286	5377
الملوك	2499	6.30	1.3887	7197
درجہ	2500	6.30	1.0546	320
سيارہ	2501	6.30	1.1824	3307
عبور	2502	6.30	1.2657	1981
پارٹيوں	2503	6.30	1.2164	6796
كرنسي	2504	6.30	1.2817	4194
اعصابي	2505	6.30	1.1824	7339
سكھ	2506	6.30	1.3590	2136
متفرد	2507	6.30	1.2976	7304
عمارتيں	2508	6.30	1.1650	3949
كنويں	2509	6.30	1.1650	6998
سبز	2510	6.30	1.1824	2135
ذلك	2511	6.30	1.3286	9058
گاڑي	2512	6.30	1.0738	1824
رہيں	2513	6.30	1.4604	887
جانشينوں	2514	6.30	1.4604	9015
بكري	2515	6.30	1.1650	5998
گھروں	2516	6.30	1.3132	2237
سانچہ	2517	6.30	1.3590	1486
فلسفہ	2518	6.30	0.9091	1333
دنياوي	2519	6.30	1.0546	3461
موسيقي	2520	6.30	1.5152	1131
سنبھال	2521	6.30	1.2164	3405
ابپاشي	2522	6.30	1.1294	5367
متحدہ	2523	6.30	1.2495	219
عاصم	2524	6.30	1.3286	8589
منہاج	2525	6.30	1.2657	8195
دستہ	2526	6.30	1.0738	4694
صدارتي	2527	6.30	1.6067	2554
ماحول	2528	6.30	0.9313	1256
وفايي	2529	6.30	1.2330	8215
وراثوں	2530	6.30	1.0738	8012
اسٹريا	2531	6.30	1.5017	2415
تعبير	2532	6.30	1.2976	2423
فصيل	2533	6.30	1.1995	5500
تجديد	2534	6.30	1.0546	2671
قيمتوں	2535	6.30	1.1473	6253
كايناتي	2536	6.30	1.0926	5418
لوگ	2537	6.30	1.3286	213
نظام	2538	6.30	1.3286	235
تعامل	2539	6.30	1.3740	4622
چستي	2540	6.30	1.2657	7733
پختہ	2541	6.30	1.3740	3449
صوفيايے	2542	6.30	1.4178	9945
انصاري	2543	6.30	1.7409	3714
طبي	2544	6.30	0.9742	1541
روزنامہ	2545	6.30	1.1995	2181
بقاء	2546	6.30	1.1650	9512
عيسوي	2547	6.30	1.6568	1137
عباسيوں	2548	6.30	1.1650	7278
حقايق	2549	6.30	1.4033	1919
ستارہ	2550	6.30	1.4463	2888
تحت	2551	6.30	1.1473	345
ابادياں	2552	6.30	1.4033	5285
كارخانوں	2553	6.30	1.4033	6376
سوسايٹي	2554	6.30	1.3132	3015
قريب	2555	6.30	1.1294	244
دكھايے	2556	6.30	1.0351	3460
تصوف	2557	6.30	1.2657	2075
يوناييٹڈ	2558	6.30	1.6690	7185
بارشيں	2559	6.30	1.2330	8473
ہارون	2560	6.30	1.4604	3282
سرحديں	2561	6.30	1.2817	1817
نيٹ	2562	6.30	1.2164	2899
مارچ	2563	6.30	1.3132	81
فقہا	2564	6.30	1.5940	7962
شيشے	2565	6.30	1.1824	5749
جہادي	2566	6.30	1.5017	9020
يادگاري	2567	6.30	0.9313	9205
قانون	2568	6.30	1.4463	519
عدالتيں	2569	6.30	1.1473	9953
مراكز	2570	6.30	1.1824	1954
ميڈيسن	2571	6.30	1.4880	8669
نمبر	2572	6.30	1.1650	729
نومبر	2573	6.30	0.9949	96
گاييڈ	2574	6.30	1.2495	8384
ريڈيو	2575	6.30	1.1824	1795
نصيب	2576	6.30	1.5152	2294
كانوں	2577	6.30	1.1473	3914
فراھم	2578	6.30	1.0926	6987
يونان	2579	6.30	1.5811	1595
اپريل	2580	6.30	1.1995	88
حلقہ	2581	6.30	1.1650	836
اعصاب	2582	6.30	1.1650	6181
لاہور	2583	6.30	1.1112	368
مستقل	2584	6.30	1.1473	911
ٹيكسٹايل	2585	6.30	1.4743	7888
ناروے	2586	6.30	1.4463	2818
داخلي	2587	6.30	1.2657	2171
قوموں	2588	6.30	1.1824	3078
موسموں	2589	6.30	1.1650	7492
سپاہ	2590	6.30	1.4880	5407
شاہد	2591	6.30	1.3439	3363
اعلانيہ	2592	6.30	1.2330	9466
اھل	2593	6.30	1.3590	8033
علاقوں	2594	6.30	1.2976	305
ريلوے	2595	6.30	1.2495	1593
عوام	2596	6.30	1.0546	652
بےشمار	2597	6.30	1.1473	6933
جاننا	2598	6.30	1.3286	4574
تقارير	2599	6.30	1.1824	7562
كيرير	2600	6.30	1.1824	7638
پيشے	2601	6.30	1.3132	3654
الم	2602	6.30	1.5286	6186
مشعل	2603	6.30	1.0351	7310
ناظر	2604	6.30	1.0546	7997
ساتھيوں	2605	6.30	0.9949	2160
چرچا	2606	6.30	1.0351	7393
دروازہ	2607	6.30	1.0152	2613
اہلكاروں	2608	6.30	1.4033	5294
نيشنل	2609	6.30	1.0546	794
بحر	2610	6.30	1.1473	735
تشہير	2611	6.30	1.1650	7382
نادر	2612	6.30	1.3132	2817
محلات	2613	6.30	1.6067	5963
ہستي	2614	6.30	1.2657	2855
علاقے	2615	6.30	1.0926	198
سربراہ	2616	6.30	1.4033	746
بشري	2617	6.30	1.0926	6928
توليد	2618	6.30	1.0546	5718
داخلہ	2619	6.30	1.3286	1653
ريشمي	2620	6.30	1.1824	9065
چاندني	2621	6.30	1.2817	7392
المعروف	2622	6.30	1.0351	2054
رتبہ	2623	6.30	1.3439	4952
ميموريل	2624	6.28	1.0698	9172
ہاتھي	2625	6.28	1.0506	4444
سنبھالے	2626	6.28	1.1436	7771
پروں	2627	6.28	1.1959	8489
گزار	2628	6.28	1.2461	2951
رابطہ	2629	6.28	0.9485	1502
شاہ	2630	6.28	1.2943	294
سپاہيوں	2631	6.28	1.2623	3763
قسمتي	2632	6.28	1.1436	6373
عدن	2633	6.28	1.4003	7776
برابري	2634	6.28	1.1959	7537
جنہوں	2635	6.28	1.1787	648
بيكر	2636	6.28	1.4003	9521
غزہ	2637	6.28	1.4291	4533
تعميل	2638	6.28	1.1256	5225
سكريٹري	2639	6.28	1.4291	8343
پريم	2640	6.28	1.4574	8269
وادي	2641	6.28	1.2129	943
ہرن	2642	6.28	1.3099	7664
تعين	2643	6.28	1.1436	1945
ہوش	2644	6.28	1.1613	3709
رياضياتي	2645	6.28	1.2461	3264
فلسطين	2646	6.28	1.2623	1729
برج	2647	6.28	1.2943	2350
بدلنے	2648	6.28	1.1959	3970
متعين	2649	6.28	1.2943	1789
دانتوں	2650	6.28	1.0698	6342
لہجہ	2651	6.28	1.2623	3877
اشياء	2652	6.28	1.2623	1466
مفاہمت	2653	6.28	1.4148	6387
مكمل	2654	6.28	1.7266	212
پھيلي	2655	6.28	1.1959	1918
كھلاڑيوں	2656	6.28	1.1073	4332
نسلي	2657	6.28	1.0506	2293
ساييكل	2658	6.28	1.4148	6026
لازوال	2659	6.28	1.3559	5952
موتيوں	2660	6.28	1.2623	9169
موجودہ	2661	6.28	0.9697	314
نباتيات	2662	6.28	1.1787	8203
بدر	2663	6.28	1.2943	2187
مامور	2664	6.28	1.1436	3638
جہازوں	2665	6.28	1.3099	2213
عقيل	2666	6.28	1.3099	6855
مقابلوں	2667	6.28	1.0309	4552
كھيلے	2668	6.28	1.2784	5264
سٹريٹ	2669	6.28	1.0110	7124
فروغ	2670	6.28	1.5258	1332
اگاہ	2671	6.28	1.1959	2263
ڈايريكٹر	2672	6.28	1.1073	2969
زمان	2673	6.28	1.3708	3872
اصغر	2674	6.28	1.7028	3788
معدہ	2675	6.28	1.4714	4810
اسان	2676	6.28	1.1256	928
سركاري	2677	6.28	1.1613	468
جناب	2678	6.28	1.3856	2253
جينے	2679	6.28	1.2129	9559
عيش	2680	6.28	1.4291	4329
اباد	2681	6.28	1.2623	150
سٹيشن	2682	6.28	1.2943	4291
تركيب	2683	6.28	1.4434	3894
شاہراہ	2684	6.28	1.0887	1757
پہچانا	2685	6.28	1.1959	4831
ہمايوں	2686	6.28	1.3559	4991
كيلے	2687	6.28	1.4574	5584
گلوكاري	2688	6.28	1.1073	7797
ٹيپو	2689	6.28	1.5784	8515
سينٹر	2690	6.28	1.0887	2357
چناچہ	2691	6.28	1.2129	5558
شاخيں	2692	6.28	1.0110	2974
مٹي	2693	6.28	1.0506	1732
اعراب	2694	6.28	1.3559	5989
واسطوں	2695	6.28	1.1256	9739
كيفيت	2696	6.28	1.0309	1171
عنوان	2697	6.28	1.0506	1377
انجن	2698	6.28	1.2784	3674
تاريخوں	2699	6.28	1.0506	9286
كلينك	2700	6.28	1.3254	8861
حلف	2701	6.28	1.1436	3837
انساييكلوپيڈيا	2702	6.28	1.5124	3445
زہد	2703	6.28	1.1787	6833
چوٹي	2704	6.28	1.2623	2026
قيمتيں	2705	6.28	1.4574	6491
ربط	2706	6.28	0.9697	1485
قطب	2707	6.28	1.1436	2040
دستياب	2708	6.28	1.4852	1316
اقا	2709	6.28	1.4988	6072
البقيع	2710	6.28	1.4714	8460
پراييوٹ	2711	6.28	1.1073	6553
وعظ	2712	6.28	1.2461	7326
نظريں	2713	6.28	1.2296	8910
تحريك	2714	6.28	1.3559	441
اساس	2715	6.28	1.0506	2822
تازگي	2716	6.28	1.3708	7879
پلاٹ	2717	6.28	1.1256	5896
فريضہ	2718	6.28	1.2623	3913
صلي	2719	6.28	1.6542	992
بنياديں	2720	6.28	1.2623	4932
پڑتے	2721	6.28	1.2623	4680
كيليفورنيا	2722	6.28	1.5391	5862
بزنس	2723	6.28	1.2129	5081
طريقت	2724	6.28	1.1073	5577
چيرمين	2725	6.28	1.2784	6960
الواقع	2726	6.28	1.2296	8465
سٹاف	2727	6.28	1.2943	6589
نواب	2728	6.28	1.3407	1675
رموز	2729	6.28	1.3099	3157
پنڈي	2730	6.28	1.2129	6556
تعريف	2731	6.28	1.1073	678
فرمانے	2732	6.28	1.4434	8605
جنس	2733	6.28	1.1256	2179
سٹايل	2734	6.28	1.1787	9912
ہدايتكار	2735	6.28	1.4003	5281
تجويز	2736	6.28	0.9697	1625
معالج	2737	6.28	1.2296	8897
پتہ	2738	6.28	1.1959	986
ادارے	2739	6.28	1.1787	686
گلوكاروں	2740	6.28	1.7148	8387
ساحلوں	2741	6.28	1.4003	2615
قبايل	2742	6.28	1.2461	1155
منگل	2743	6.28	1.3407	6164
راتيں	2744	6.28	1.5913	9059
عجايبات	2745	6.28	1.1256	7436
شماريات	2746	6.28	1.2943	3094
شركت	2747	6.28	1.4988	1203
معزز	2748	6.28	1.5913	4600
سربراہان	2749	6.28	1.4574	8566
نيپال	2750	6.28	1.4434	3383
برتن	2751	6.28	1.1613	4778
بينك	2752	6.28	1.4434	2013
قديم	2753	6.28	1.2784	234
معاون	2754	6.28	1.2784	2491
مثال	2755	6.28	1.1436	392
تجربے	2756	6.28	1.1436	2905
سرگرم	2757	6.28	1.1256	1987
مزدوري	2758	6.28	1.4291	8185
مسافت	2759	6.28	1.0887	5965
بيانات	2760	6.28	1.1073	3321
ديہات	2761	6.28	1.3099	4120
اسرار	2762	6.28	1.4003	3026
اقصي	2763	6.28	1.1959	7194
جنوري	2764	6.28	1.0887	84
دستاويزات	2765	6.28	1.2461	3109
پولو	2766	6.28	1.3559	8278
ديواريں	2767	6.28	1.3099	5477
چلو	2768	6.28	1.1787	5903
مسكن	2769	6.28	1.1256	4389
ادوار	2770	6.28	1.2461	2296
فاروقي	2771	6.28	1.6167	4705
رشد	2772	6.28	1.2296	7759
رومانيت	2773	6.28	1.2623	9064
ٹورنامنٹ	2774	6.28	1.3099	6692
بھرتي	2775	6.28	1.2296	3934
رجمنٹ	2776	6.28	1.0887	9892
گرين	2777	6.28	0.9906	3670
اچھي	2778	6.28	1.3856	1211
عنوانات	2779	6.28	1.2461	6606
اونچے	2780	6.28	1.3099	4013
مشاہدہ	2781	6.28	1.2129	1379
سفيان	2782	6.28	1.8075	4373
سفير	2783	6.28	1.3856	2681
رايٹ	2784	6.28	1.2943	9334
گھومتے	2785	6.28	0.9044	6502
سڑكوں	2786	6.28	1.1073	2864
ضياالحق	2787	6.28	1.5258	9631
رفاقت	2788	6.28	1.3559	9597
خطبات	2789	6.26	1.4957	6703
جزيرہ	2790	6.26	1.3372	770
پروازيں	2791	6.26	1.1572	5803
پہاڑوں	2792	6.26	1.0264	1579
اگلے	2793	6.26	1.1031	1248
ازواج	2794	6.26	1.1920	6177
مہينہ	2795	6.26	1.1920	3248
كمپنياں	2796	6.26	1.3969	4331
لب	2797	6.26	1.2423	3817
سينے	2798	6.26	1.1920	3663
اميدواروں	2799	6.26	1.3219	5450
ثروت	2800	6.26	1.1920	7388
وينس	2801	6.26	1.4401	5130
كوششيں	2802	6.26	0.9858	2163
زبانوں	2803	6.26	1.2586	640
اندراج	2804	6.26	1.1214	2394
ٹورانٹو	2805	6.26	1.7474	9012
ذہنوں	2806	6.26	1.2747	8322
سكھايي	2807	6.26	1.4259	9614
قصر	2808	6.26	1.1747	5502
مركب	2809	6.26	1.3372	1498
نسليں	2810	6.26	1.4401	6767
مصري	2811	6.26	1.7001	1292
اداكارہ	2812	6.26	1.3674	1873
لمحے	2813	6.26	1.0063	5866
ہاوس	2814	6.26	1.3524	2461
حضر	2815	6.26	1.3372	8780
سننے	2816	6.26	1.1031	2727
كھيت	2817	6.26	1.2090	8158
برسراقتدار	2818	6.26	1.4542	8727
تين	2819	6.26	1.2423	151
نيا	2820	6.26	1.0063	670
اكيڈيمي	2821	6.26	1.7474	9470
ابادكاري	2822	6.26	1.2586	8433
منصوبے	2823	6.26	1.1747	1888
سر	2824	6.26	1.1214	300
اسٹيشن	2825	6.26	1.1572	2987
دليري	2826	6.26	1.4820	9584
اقوال	2827	6.26	1.3219	4402
وقتي	2828	6.26	1.1214	5283
اپنانے	2829	6.26	1.3063	5132
مغيرہ	2830	6.26	1.5624	9163
پردے	2831	6.26	1.4259	3832
دستاويز	2832	6.26	1.0063	3459
باخبر	2833	6.26	1.2257	6307
صاحبان	2834	6.26	1.6138	8582
ہدايت	2835	6.26	1.2586	1127
ادويات	2836	6.26	1.4957	3647
رجسٹر	2837	6.26	1.3372	9891
بنيادي	2838	6.26	1.0844	245
سارا	2839	6.26	1.2257	1726
جيد	2840	6.26	1.1214	5819
حكمرانوں	2841	6.26	1.7120	1920
كرن	2842	6.26	1.5884	7971
موٹروے	2843	6.26	1.0844	9718
اقامت	2844	6.26	1.3969	6666
قادريہ	2845	6.26	1.0654	6614
تشريحات	2846	6.26	1.3674	9005
تمدني	2847	6.26	1.0844	8068
چوٹيوں	2848	6.26	1.2090	6448
صنعتوں	2849	6.26	1.1572	3408
كھلے	2850	6.26	1.0264	2487
معالجہ	2851	6.26	1.2747	5428
رياست	2852	6.26	1.2747	190
معاہدہ	2853	6.26	1.1214	1042
الجزاير	2854	6.26	1.2090	1734
تمنا	2855	6.26	1.2586	5153
الارض	2856	6.26	1.5493	5537
ٹرسٹ	2857	6.26	1.1395	6010
وكيل	2858	6.26	0.8992	3065
جمع	2859	6.26	0.8992	434
سياستدانوں	2860	6.26	1.4682	7938
پلان	2861	6.26	1.5093	9813
داري	2862	6.26	1.1031	890
سينا	2863	6.26	1.1920	4422
حالت	2864	6.26	1.2906	496
گھاس	2865	6.26	1.1031	4088
ورلڈ	2866	6.26	1.4820	1995
پڑيں	2867	6.26	1.2257	4830
اخباري	2868	6.26	1.3969	6530
قيصر	2869	6.26	1.3969	4129
بيجنگ	2870	6.26	1.5493	7217
فعل	2871	6.26	1.1214	1969
سيارے	2872	6.26	1.0844	2233
سمجھتا	2873	6.26	1.1747	2946
رپورٹر	2874	6.26	1.2090	9890
سكيم	2875	6.26	1.3219	8571
اصفہان	2876	6.26	1.3063	5444
ٹايپ	2877	6.26	1.3219	8760
سلسلے	2878	6.26	1.0063	539
گذار	2879	6.26	1.0264	6145
اشخاص	2880	6.26	1.0063	3102
سمجھ	2881	6.26	1.2257	1132
دربار	2882	6.26	1.0461	1371
اراستہ	2883	6.26	1.4259	4924
مسقط	2884	6.26	1.4259	8649
جالندھري	2885	6.26	1.3822	7572
گلوكارہ	2886	6.26	1.4401	4198
شخصي	2887	6.26	1.0461	3844
لہريں	2888	6.26	1.2423	6743
مثالي	2889	6.26	1.1031	3737
پارليمان	2890	6.26	1.2090	2517
ماييكروسافٹ	2891	6.26	1.4682	6749
فرمايي	2892	6.26	1.0264	1924
اوسط	2893	6.26	1.2586	1022
الحاد	2894	6.26	1.3969	9235
پہننے	2895	6.26	1.3969	6803
تمام	2896	6.26	1.3372	101
بيل	2897	6.26	1.0844	3718
پرايمري	2898	6.26	1.2090	5014
رواج	2899	6.26	1.5754	1750
كونسلوں	2900	6.26	1.4259	5181
الكبري	2901	6.26	1.5361	7848
صارفي	2902	6.26	1.2257	4700
صوبہ	2903	6.26	0.9649	203
كميٹي	2904	6.26	1.1920	1983
فنون	2905	6.26	1.2423	1856
گھوڑے	2906	6.26	1.4259	2912
اصل	2907	6.26	1.5228	242
مصرعے	2908	6.26	1.1031	8651
موقع	2909	6.26	1.1395	420
پراجيكٹ	2910	6.26	1.3372	8264
ساختوں	2911	6.26	1.0844	9607
مہيا	2912	6.26	1.2586	1362
افسانوي	2913	6.26	1.5228	4220
مشتمل	2914	6.26	1.2090	220
تاجروں	2915	6.26	0.9649	4281
قرطبہ	2916	6.26	1.4682	4804
شموليت	2917	6.26	1.2747	1386
خطوط	2918	6.26	1.0264	2009
تبديليوں	2919	6.26	1.3969	3354
نمكين	2920	6.26	1.0844	7321
حيثيت	2921	6.26	1.3372	255
يحيي	2922	6.26	1.3524	2547
پچپن	2923	6.26	1.2906	9526
سارہ	2924	6.26	1.3969	8812
موسيقاروں	2925	6.26	1.3063	8198
نشانے	2926	6.26	1.1747	9727
فورٹ	2927	6.26	1.2747	4753
ركھيں	2928	6.26	1.1214	2268
تقرير	2929	6.26	1.1031	2465
سياروں	2930	6.26	1.2090	4476
جمالي	2931	6.26	1.2586	8079
پيام	2932	6.26	1.1747	8279
تيري	2933	6.26	1.3969	3295
مامون	2934	6.26	1.3063	8642
واقفيت	2935	6.26	1.2586	4447
حنفي	2936	6.26	1.4957	4468
تدبير	2937	6.26	1.2257	4728
اربعہ	2938	6.26	1.3219	6661
الہام	2939	6.26	1.4401	7689
سنا	2940	6.26	1.1572	2161
فوجوں	2941	6.26	1.3969	2066
موقعہ	2942	6.26	1.1572	6641
خاكي	2943	6.26	1.1747	6452
مقرر	2944	6.26	1.0844	419
سامعين	2945	6.26	1.0063	5640
شكليں	2946	6.26	1.2257	6844
مارك	2947	6.26	1.1920	5112
گانوں	2948	6.26	1.3822	8163
كہكشاں	2949	6.26	1.4957	6497
كابل	2950	6.26	1.5754	2599
بستي	2951	6.26	1.1747	2719
عنہم	2952	6.26	1.3969	6482
دوگنا	2953	6.26	1.1920	9587
سيل	2954	6.26	1.0654	5746
مالكان	2955	6.26	1.0461	7649
فراہمي	2956	6.26	1.0844	3137
فارم	2957	6.26	0.9858	3186
غزليں	2958	6.26	1.4682	5578
علموں	2959	6.26	1.3674	5654
مالا	2960	6.26	1.2586	2914
عزايم	2961	6.26	1.2747	6854
ہنر	2962	6.26	1.4542	3884
نقشہ	2963	6.26	1.0063	1412
تبصرے	2964	6.26	0.9649	7084
نظاموں	2965	6.26	1.1031	5193
ٹھيك	2966	6.26	1.2090	2416
گزارنے	2967	6.26	1.4820	3468
رہايش	2968	6.26	1.3063	1184
تقاريب	2969	6.26	1.0461	5390
امتيازي	2970	6.26	1.3969	2858
اردگرد	2971	6.26	1.1395	1996
سوشل	2972	6.24	1.4223	6357
جماعتيں	2973	6.24	1.0214	3940
برف	2974	6.24	1.3024	2083
سوار	2975	6.24	1.1528	2183
ابواب	2976	6.24	1.2545	4558
ضياء	2977	6.24	1.4078	3309
مٹھي	2978	6.24	1.1704	5518
مادري	2979	6.24	1.3486	3637
معلوم	2980	6.24	1.0606	407
سٹيل	2981	6.24	1.0606	7423
كاركن	2982	6.24	1.3933	2436
چھٹي	2983	6.24	1.3180	2804
حقيقتا	2984	6.24	0.9596	6018
حاضرہ	2985	6.24	1.0012	9569
سفري	2986	6.24	1.2545	9074
سيريل	2987	6.24	1.0606	7432
اكثريت	2988	6.24	1.2545	780
جاگير	2989	6.24	1.0214	5550
سيكنڈري	2990	6.24	1.2048	9086
مغلوں	2991	6.24	1.2382	5120
دكانوں	2992	6.24	1.0412	9044
چيزوں	2993	6.24	1.0984	1685
مستحب	2994	6.24	1.2545	8892
خيالات	2995	6.24	1.0412	1297
