Description,Word No.,Valence Mean,Valence SD,Arousal Mean,Arousal SD,Dominance Mean,Dominance SD,Word Frequency
hungry,221,3.52,1.83,5.09,2.29,4.70,2.03,23
hatred,202,1.69,1.69,6.76,2.52,4.14,2.92,20
hurricane,798,2.45,1.43,7.00,2.00,2.35,2.11,8
hawk,536,5.46,1.56,4.68,2.25,5.31,1.64,14
hurt,222,1.66,1.08,5.68,2.40,3.14,2.22,37
hay,784,5.30,0.66,3.05,2.09,4.90,1.21,19
hydrant,564,4.96,1.00,3.77,1.75,5.54,1.58,.
headache,203,1.88,0.99,5.00,2.86,3.16,1.89,5
icebox,799,4.91,1.11,3.59,2.22,5.09,1.02,3
headlight,785,5.45,1.19,3.85,2.06,5.00,1.17,.
idea,800,7.57,1.33,6.14,1.83,6.90,2.10,195
heal,786,7.45,1.60,4.90,2.39,6.29,1.90,2
identity,801,6.95,1.76,4.80,2.19,6.50,2.04,55
health,204,6.75,2.11,5.03,2.15,5.81,2.01,105
idiot,223,3.00,1.62,3.83,2.52,2.39,1.62,2
heart,787,7.90,1.33,6.55,2.44,5.50,2.24,173
idol,802,6.55,1.93,5.15,2.08,5.20,2.31,7
ignorance,803,3.21,2.62,4.83,2.66,4.38,2.39,16
jealousy,237,2.40,2.22,7.00,2.50,4.16,2.75,4
illness,804,2.27,1.35,4.82,2.26,2.77,1.66,20
jelly,238,5.62,1.61,3.54,2.17,4.29,1.80,3
imagine,805,7.52,1.44,6.32,2.17,7.62,1.75,61
jewel,239,7.24,1.50,5.31,2.49,5.86,2.26,1
immature,806,2.65,1.35,4.10,1.94,4.75,2.31,7
joke,826,8.00,1.76,6.82,1.79,6.05,1.82,22
immoral,807,3.29,2.05,5.17,2.53,4.67,2.06,5
jolly,827,7.45,1.88,5.45,2.89,6.45,1.61,4
impair,808,3.00,2.14,4.46,2.30,4.00,2.43,4
journal,828,5.32,1.70,3.68,2.38,5.64,1.76,42
impotent,224,2.54,1.56,4.50,2.32,2.92,2.06,2
joy,240,8.62,0.70,6.73,2.44,6.46,2.14,40
impressed,225,7.62,1.70,5.24,2.76,5.28,2.41,30
joyful,241,8.52,0.85,5.81,2.70,6.77,1.98,1
improve,226,7.90,1.02,5.80,2.07,6.20,2.14,39
jug,829,5.00,0.79,3.50,2.04,4.90,1.21,6
incentive,809,6.95,1.96,5.95,2.44,5.90,2.43,12
justice,242,7.93,1.13,5.71,2.62,6.57,2.10,114
indifferent,810,4.46,1.06,3.17,1.97,4.96,1.55,11
kerchief,830,4.81,1.27,3.27,2.31,5.15,1.19,1
industry,227,5.06,1.70,4.34,2.48,4.56,2.03,171
kerosene,243,4.77,1.75,4.36,2.55,4.80,1.98,6
infant,811,7.95,1.50,5.50,2.61,5.80,2.57,11
ketchup,831,5.68,1.29,4.52,2.14,5.38,1.83,1
infatuation,516,6.50,2.21,6.96,1.75,4.32,2.08,4
kettle,832,5.25,0.72,2.85,1.98,5.05,1.05,3
infection,228,1.48,0.85,5.22,2.84,3.35,2.62,8
key,833,5.96,1.65,3.50,2.27,4.83,1.74,88
inferior,812,3.05,1.15,4.45,1.88,2.55,1.79,7
kick,834,4.10,2.40,5.65,2.06,5.70,1.95,16
inhabitant,813,5.27,1.32,3.27,2.10,5.18,1.56,.
kids,835,6.96,2.34,5.27,2.66,5.28,2.21,32
injury,595,1.85,1.16,5.81,1.86,3.35,1.23,27
killer,244,1.43,1.20,8.35,1.43,4.52,3.53,21
ink,229,5.08,0.63,4.00,1.91,4.64,2.02,7
kind,245,7.62,1.82,4.69,2.58,6.17,1.97,313
innocent,814,6.76,1.30,3.82,2.20,5.38,2.42,37
kindness,246,8.38,0.94,3.76,2.76,6.08,2.88,5
insane,815,2.23,1.80,5.95,2.63,3.41,2.06,13
king,247,7.34,1.67,5.48,2.86,7.34,2.21,88
insect,816,3.68,2.32,4.19,2.62,4.24,2.68,14
kiss,248,8.24,1.70,7.55,1.68,7.10,2.21,17
insecure,230,2.41,1.45,6.14,2.29,2.28,1.98,3
kitten,517,7.00,1.90,5.15,2.49,6.81,2.12,5
insolent,231,4.12,1.75,5.19,2.28,4.27,2.16,2
knife,596,2.64,1.78,5.77,2.23,3.23,1.90,76
inspire,232,7.35,1.23,4.96,2.88,6.48,2.25,3
knot,836,4.82,1.30,4.62,1.96,4.50,1.43,8
inspired,233,7.58,1.77,6.04,2.86,6.85,2.43,25
knowledge,249,7.60,1.14,5.90,2.38,7.20,2.17,145
insult,817,1.68,1.13,6.55,2.44,2.95,1.73,7
lake,250,7.10,1.50,3.86,2.66,5.03,2.28,54
intellect,818,6.88,1.82,4.92,2.77,5.92,2.04,5
lamb,837,6.25,1.57,3.42,2.00,4.88,1.60,7
intercourse,819,7.05,1.46,6.68,2.19,6.09,1.82,9
lamp,838,5.75,1.12,3.90,2.15,5.55,1.47,18
interest,234,7.30,1.82,5.87,2.62,5.83,1.70,330
lantern,839,5.64,1.29,4.00,2.30,4.86,1.62,13
intimate,821,7.52,1.81,6.92,2.45,5.72,2.46,21
laughter,251,8.35,1.31,6.70,2.39,6.70,2.20,22
intruder,822,2.08,2.19,7.15,2.46,3.42,2.82,1
lavish,840,6.80,1.74,4.95,2.61,5.80,1.40,3
invader,823,2.46,1.91,6.50,2.13,4.04,2.82,1
lawn,841,5.23,0.87,3.82,1.82,5.27,1.24,15
invest,824,6.25,1.86,4.80,2.76,6.10,1.71,3
lawsuit,842,3.52,2.29,5.50,2.46,3.80,1.94,1
iron,565,4.54,1.03,3.54,1.86,4.96,1.40,43
lazy,843,4.33,2.18,3.00,2.49,4.00,2.07,9
irritate,235,3.26,1.71,6.17,1.92,4.91,1.93,.
leader,844,7.90,1.45,6.35,2.46,8.35,1.23,74
item,825,5.20,0.95,2.95,1.96,5.45,1.70,54
learn,252,7.27,1.56,5.54,2.28,6.54,1.92,84
jail,236,1.91,1.19,5.73,2.55,4.27,2.83,21
legend,845,6.41,1.47,4.27,1.86,5.32,1.59,26
leisurely,253,7.00,1.76,4.52,2.52,5.25,1.82,5
man,537,7.19,1.60,6.73,1.61,4.81,2.45,1207
leprosy,254,2.09,1.20,6.48,2.31,4.00,2.59,1
mangle,861,3.68,2.21,5.14,2.44,3.95,1.65,.
lesbian,597,3.38,1.81,4.50,1.79,4.92,2.12,.
maniac,862,3.20,1.77,5.55,2.96,4.20,2.26,4
letter,846,6.91,1.63,4.64,2.54,5.59,1.53,145
manner,863,5.62,1.66,4.41,1.65,5.52,1.57,124
liberty,255,8.10,1.19,5.47,2.75,6.33,2.37,46
mantel,864,4.96,1.12,2.88,2.11,4.92,1.21,3
lice,256,2.12,1.45,4.92,2.34,3.60,2.20,2
manure,865,3.23,1.74,4.27,1.93,4.50,0.91,6
lie,257,2.28,1.55,6.25,2.53,2.81,2.25,59
market,866,5.50,1.01,3.55,1.92,5.41,1.50,155
life,258,7.38,1.70,6.26,2.49,5.77,2.53,715
massacre,867,2.32,2.03,5.43,2.79,2.86,2.22,1
lightbulb,566,5.77,1.42,4.38,2.14,6.23,1.77,.
masterful,271,7.00,1.96,4.97,3.10,7.31,2.77,2
lighthouse,847,5.58,2.34,3.96,2.51,5.38,1.88,.
masturbate,599,4.35,1.85,5.27,2.39,5.38,2.21,.
lightning,598,4.00,2.48,6.69,1.76,3.62,2.10,14
material,868,5.25,0.91,3.55,2.21,5.05,0.69,174
limber,848,5.90,1.70,4.52,2.44,5.86,1.88,2
measles,272,2.47,2.08,5.38,2.43,3.84,2.22,2
lion,518,5.54,1.92,6.54,1.86,3.62,2.16,17
medicine,869,5.76,2.23,4.48,2.29,4.59,2.17,30
listless,259,3.92,1.62,3.58,2.06,3.65,1.65,1
meek,273,3.38,1.60,4.19,2.33,3.15,2.27,10
lively,849,7.42,2.23,5.80,2.84,6.08,2.06,26
melody,870,7.50,1.40,5.20,2.17,5.35,1.69,21
locker,850,5.45,0.89,3.35,1.87,5.70,1.42,9
memories,871,7.59,1.62,6.00,2.00,6.18,1.94,15
loneliness,260,1.59,1.01,4.52,3.00,2.42,2.23,9
memory,274,6.40,1.50,5.40,2.04,5.10,2.00,76
lonely,261,2.15,2.01,4.92,2.78,3.04,2.34,25
menace,275,2.68,1.55,5.72,2.21,4.81,2.00,9
loser,851,1.95,1.40,5.05,2.55,2.55,2.04,1
merry,872,8.09,1.60,5.50,2.72,6.45,1.97,8
lost,852,2.54,1.90,5.77,2.83,2.88,1.63,173
messy,873,3.16,1.64,3.79,2.72,4.00,1.53,3
lottery,853,6.46,2.39,5.76,2.44,4.52,2.31,1
metal,874,4.80,1.01,3.75,2.00,5.40,0.94,61
louse,262,2.15,1.38,5.31,1.85,3.19,2.28,3
method,875,5.20,1.40,3.25,2.02,5.05,1.10,142
love,263,8.77,0.65,6.42,3.49,7.12,2.62,232
mighty,276,6.88,2.30,5.81,2.23,7.40,2.10,29
loved,264,8.83,0.47,6.69,2.77,7.10,2.23,56
mildew,277,3.08,1.44,4.08,1.81,4.27,1.89,1
loyal,265,7.93,1.60,5.24,2.53,7.14,1.94,18
milk,876,5.45,2.31,2.80,2.09,5.50,1.10,49
lucky,266,8.35,0.88,6.15,2.62,5.90,2.02,21
millionaire,278,7.92,1.47,6.35,2.54,7.19,2.00,2
lump,854,3.58,2.52,5.36,2.78,4.20,2.27,7
mind,877,6.85,1.53,4.75,2.67,6.40,1.96,325
luscious,267,7.48,1.08,4.96,2.65,5.96,1.64,2
miracle,279,8.72,0.61,7.72,1.81,5.32,2.53,16
lust,519,6.92,1.62,6.85,1.78,4.88,2.16,5
mischief,878,5.73,2.21,5.77,1.77,5.57,1.89,5
luxury,268,8.03,0.98,5.04,3.00,6.43,2.39,21
misery,879,1.59,1.62,5.36,2.74,2.18,1.26,15
machine,855,5.46,1.64,3.83,2.55,5.46,1.89,103
mistake,880,2.54,1.47,5.21,2.41,3.17,1.99,34
mad,856,2.52,2.11,6.67,2.24,5.95,2.26,39
mobility,881,6.95,1.70,4.59,2.24,6.41,1.47,8
madman,857,3.24,2.62,5.88,3.14,4.33,2.96,2
modest,280,5.81,1.30,3.65,2.31,4.85,2.38,29
maggot,269,1.92,1.32,5.54,2.90,3.81,2.28,2
mold,882,3.19,1.63,4.14,2.40,4.14,2.03,45
magical,858,7.82,1.50,5.86,2.64,5.86,2.17,12
moment,281,5.92,1.63,3.38,2.08,4.73,1.87,246
mail,859,7.18,1.71,5.55,2.34,5.73,1.61,47
money,282,7.45,1.35,6.00,2.51,6.21,2.25,265
malaria,860,2.41,1.44,4.81,2.40,3.33,2.20,3
month,283,5.07,1.16,4.00,1.83,4.86,1.27,130
malice,270,2.38,1.68,6.08,2.90,4.77,2.93,2
moody,883,2.96,1.57,4.33,2.50,4.25,1.57,5
moral,884,6.45,1.15,4.40,2.21,6.00,2.13,142
nude,520,5.88,0.91,5.73,1.59,5.12,2.03,20
morbid,284,2.62,2.14,5.22,2.77,4.19,2.71,1
nuisance,908,2.85,1.87,4.60,2.96,4.16,1.91,5
morgue,285,1.70,1.15,5.26,3.09,3.04,1.72,1
nun,909,5.23,2.05,2.81,1.86,4.92,1.83,2
mosquito,885,2.30,1.38,4.85,2.68,4.30,1.92,1
nurse,538,5.77,2.16,4.81,1.77,4.65,2.33,17
mother,286,8.74,0.75,6.74,2.38,6.52,1.97,216
nursery,910,6.31,2.45,4.64,3.03,5.48,2.42,13
mountain,287,6.86,1.52,5.27,2.39,4.95,2.01,33
obesity,911,2.81,2.14,4.52,3.02,3.52,2.55,5
movie,288,6.93,1.49,4.86,2.67,5.17,1.73,29
obey,912,4.52,1.78,4.38,1.40,4.14,2.44,8
mucus,886,2.80,2.12,3.40,2.46,4.40,1.73,2
obnoxious,913,3.05,2.50,5.00,2.77,5.19,2.71,5
muddy,887,4.15,2.20,4.44,2.24,4.68,1.97,10
obscene,914,3.48,2.12,4.62,2.25,4.16,1.99,2
muffin,888,6.77,2.14,5.19,2.50,5.48,1.69,.
obsession,915,3.69,1.89,6.19,2.43,4.23,2.23,5
murderer,289,1.42,0.81,7.42,2.14,3.50,2.97,19
ocean,297,7.28,1.83,4.76,2.87,5.83,2.59,34
muscular,290,7.09,1.35,5.29,2.15,6.45,2.16,16
odd,916,4.46,2.25,4.12,2.44,4.79,1.79,44
museum,889,5.62,1.63,3.00,1.76,5.24,1.67,32
offend,917,2.23,1.23,5.41,2.48,3.45,2.11,4
mushroom,567,5.50,2.18,4.50,2.20,5.19,2.14,2
office,568,5.19,1.27,4.08,2.04,5.88,2.01,255
music,291,8.43,0.90,5.13,3.48,6.87,2.46,216
opinion,298,6.58,1.47,5.08,2.40,5.16,1.97,96
mutation,890,3.56,2.33,4.85,2.62,3.84,2.21,.
optimism,918,7.80,1.70,5.90,2.59,6.85,1.93,15
mutilate,292,1.97,1.57,6.03,3.13,3.00,2.51,3
option,919,6.76,1.37,4.95,1.83,6.73,1.64,5
mystic,891,6.04,2.35,5.38,2.79,5.58,1.95,3
orchestra,299,6.31,1.49,3.75,2.38,5.07,1.92,60
naked,892,5.83,2.62,5.78,2.49,5.52,1.90,32
orgasm,920,8.19,1.36,8.27,1.08,6.95,2.04,7
name,893,5.21,2.47,3.83,2.43,5.00,1.84,294
outdoors,521,7.58,1.21,6.35,2.45,6.23,2.18,6
narcotic,894,4.09,2.58,5.33,2.65,4.19,2.69,2
outrage,921,3.35,2.03,7.15,2.18,5.80,2.65,4
nasty,895,3.12,2.39,4.84,2.54,4.96,2.44,5
outstanding,922,7.96,1.90,6.44,2.60,6.38,2.50,37
natural,896,6.62,1.60,3.62,2.38,5.58,1.70,156
overcast,923,3.33,1.65,2.95,1.77,4.14,1.62,9
nature,293,7.77,1.34,4.24,2.45,4.92,2.41,191
overwhelmed,300,3.88,2.64,7.29,1.97,3.41,2.41,4
nectar,294,6.96,1.40,4.08,2.33,4.38,1.47,3
owl,522,5.58,1.33,3.96,1.73,5.65,1.72,2
needle,897,3.62,1.83,5.62,3.09,3.85,2.20,15
pain,301,1.54,1.63,7.12,2.52,3.27,2.72,88
neglect,898,1.90,1.12,5.15,2.52,3.75,2.59,12
paint,924,6.05,1.80,3.86,2.41,5.86,1.90,37
nervous,899,2.91,1.54,7.50,1.74,3.05,1.81,24
palace,302,7.65,1.50,5.29,2.71,5.48,2.28,38
neurotic,900,4.08,2.36,5.42,2.89,4.40,2.25,10
pamphlet,925,4.73,0.98,3.81,2.09,4.62,1.24,3
news,901,5.10,1.87,5.73,1.72,4.10,1.79,102
pancakes,523,5.62,2.14,4.19,2.30,5.35,1.72,.
nice,902,6.35,2.88,4.12,2.49,5.24,2.37,75
panic,601,2.73,1.69,7.50,1.56,2.85,1.35,22
nightmare,295,1.57,1.53,7.65,2.48,3.09,3.01,9
paper,303,5.13,1.14,2.52,1.78,4.48,1.75,157
nipple,903,5.48,1.66,4.73,2.46,5.40,1.83,.
paradise,304,8.85,0.37,4.40,3.28,5.55,3.00,12
noisy,904,4.95,2.15,6.59,1.84,4.91,1.80,6
paralysis,926,1.64,1.09,4.64,2.90,2.55,1.84,6
nonchalant,296,4.77,0.86,3.12,1.93,4.38,1.44,1
part,927,5.12,1.93,3.23,2.42,4.88,1.68,500
nonsense,905,4.18,1.44,3.55,1.92,4.41,1.47,13
party,305,8.35,1.70,6.76,3.06,6.00,2.57,216
noose,906,3.35,1.60,4.05,1.96,4.35,1.90,3
passage,928,5.12,1.58,4.31,2.26,4.85,1.16,49
nourish,907,6.70,1.42,4.15,2.76,5.95,1.61,.
passion,306,8.10,1.32,7.10,2.78,6.10,2.26,28
pasta,524,6.69,1.62,5.00,2.00,5.92,1.79,.
pressure,944,3.27,1.93,6.55,2.15,3.77,2.41,185
patent,307,5.10,0.86,3.68,1.81,4.68,1.68,35
prestige,945,7.09,2.14,5.59,2.38,6.77,2.11,29
patient,929,5.86,1.82,4.23,2.52,5.52,2.46,86
pretty,326,7.85,1.09,5.37,2.31,6.05,2.11,107
patriot,930,6.59,1.56,4.05,2.34,5.32,1.09,10
prick,946,3.45,1.65,5.27,2.31,4.24,1.70,2
peace,308,8.20,1.20,2.05,2.04,5.20,3.35,198
pride,327,7.22,2.03,5.84,2.26,7.28,2.08,42
penalty,931,2.55,1.43,5.55,2.21,3.65,1.27,14
priest,328,6.65,1.65,3.71,2.71,4.88,1.96,16
pencil,309,5.19,0.69,3.19,1.92,4.88,1.95,34
prison,329,1.97,1.15,5.61,2.22,4.04,2.32,42
penis,932,6.25,1.71,6.00,2.45,5.90,1.68,.
privacy,330,5.96,1.48,4.23,1.70,6.12,1.51,12
penthouse,933,6.73,1.67,4.91,2.47,6.18,1.56,1
profit,331,7.54,1.21,6.27,1.80,5.65,2.37,28
people,525,7.77,1.63,6.73,2.15,6.19,2.37,847
progress,947,8.00,1.30,6.29,2.53,7.18,1.92,120
perfection,310,6.97,2.10,6.32,2.56,6.58,2.33,11
promotion,332,8.28,0.96,6.74,2.41,6.77,2.31,26
perfume,934,7.23,1.38,4.91,2.35,5.86,1.91,10
protected,333,8.12,1.09,4.08,3.29,6.19,2.95,31
person,311,6.22,1.84,4.42,2.66,5.13,2.05,175
proud,334,8.00,1.78,5.39,3.23,6.74,2.78,50
pervert,312,2.08,1.41,6.28,2.49,4.35,2.90,1
pungent,948,3.50,2.01,4.30,2.18,4.45,1.28,4
pest,313,2.76,1.59,5.77,2.08,5.52,1.92,4
punishment,335,2.12,1.37,6.00,2.37,3.48,2.38,21
pet,935,7.80,1.40,5.15,2.62,6.10,2.47,8
puppy,336,7.66,1.74,5.76,2.85,5.76,2.31,2
phase,936,5.14,1.06,4.57,1.47,4.55,1.77,72
pus,602,2.88,1.68,4.73,1.85,4.31,1.54,.
pie,314,6.38,2.16,3.81,2.53,5.42,2.14,14
putrid,337,2.12,1.62,5.88,2.23,4.92,2.12,.
pig,937,5.05,1.82,3.65,2.48,4.55,1.47,8
python,949,3.12,2.12,6.62,2.12,3.27,1.97,14
pillow,315,7.95,1.61,2.45,2.04,4.60,2.23,8
quality,950,6.15,1.52,4.46,2.28,5.38,1.65,114
pinch,938,3.25,1.52,4.35,1.84,4.30,1.66,6
quarrel,338,2.50,2.06,6.44,2.92,4.00,2.35,20
pistol,939,2.73,1.80,6.09,2.45,3.41,2.36,27
quart,951,5.33,2.18,3.17,2.57,4.92,1.82,3
pity,940,3.05,1.62,4.14,2.22,3.81,1.63,14
queen,952,7.10,1.48,4.80,2.46,6.35,2.11,41
pizza,526,6.50,2.14,5.38,2.00,6.04,1.75,3
quick,953,6.59,1.65,6.50,1.68,6.50,1.92,68
plain,941,4.00,1.58,3.68,2.40,4.71,2.00,48
quiet,339,5.52,1.95,2.94,2.27,4.16,2.21,76
plane,539,6.54,1.82,6.20,2.42,4.77,2.37,114
rabbit,527,6.73,2.07,4.38,2.35,6.12,1.75,11
plant,316,5.88,2.08,3.81,2.48,4.88,2.29,125
rabies,340,1.86,1.01,6.10,2.55,3.79,2.39,1
pleasure,317,8.38,0.86,5.59,2.96,6.28,2.31,62
radiant,954,7.04,2.24,5.67,2.85,5.38,2.24,8
poetry,318,6.23,1.66,3.76,2.63,5.28,2.07,88
radiator,955,4.82,0.66,3.64,1.76,4.86,0.83,4
poison,319,1.81,1.06,6.62,2.86,3.27,2.69,10
radio,341,6.77,1.42,4.46,2.79,5.15,1.78,120
politeness,320,7.43,1.04,3.74,2.38,6.13,1.87,5
rage,342,2.35,1.64,8.09,1.50,4.96,3.21,16
pollute,321,1.77,1.07,6.04,2.59,4.50,2.57,1
rain,569,4.81,2.40,3.62,2.37,4.38,1.39,70
poster,942,5.25,1.59,3.33,2.08,4.88,1.70,4
rainbow,343,8.25,1.12,4.45,3.09,4.60,2.52,4
poverty,322,1.46,0.76,4.84,2.75,2.80,2.24,20
rancid,956,4.24,2.26,4.81,2.32,4.04,1.84,.
power,323,6.12,2.42,6.44,2.06,7.28,2.11,342
rape,344,1.08,0.27,7.38,2.89,2.85,3.15,5
powerful,324,6.81,1.74,5.80,2.75,7.12,2.59,63
rat,345,2.82,1.70,5.14,2.48,4.11,1.97,6
prairie,325,5.93,1.33,3.26,1.93,4.39,1.89,21
rattle,346,4.85,0.97,4.35,2.38,4.31,1.59,5
present,943,7.32,1.64,4.68,2.59,6.14,1.67,377
razor,957,4.68,2.29,4.96,2.35,4.64,1.78,15
red,570,6.46,1.84,5.62,1.94,6.19,1.70,197
salad,369,5.91,1.67,3.84,2.24,5.38,1.91,9
refreshment,347,7.28,1.33,4.68,2.78,5.00,1.83,2
salute,370,6.20,1.58,5.45,2.31,5.35,1.98,3
regretful,348,2.25,1.55,5.75,2.30,3.19,2.52,1
sapphire,371,7.21,1.80,4.93,2.70,5.59,2.24,.
rejected,349,1.38,0.83,6.26,2.67,2.45,2.47,33
satisfied,372,8.12,0.99,5.12,2.83,6.50,2.10,36
relaxed,350,7.39,1.59,1.87,1.71,5.52,2.19,14
save,969,6.65,2.03,4.80,1.99,5.75,1.80,62
repentant,351,5.86,2.12,5.05,2.10,5.68,1.86,1
savior,373,7.72,1.62,5.76,3.01,6.66,2.13,6
reptile,958,4.27,1.99,5.23,2.30,4.38,1.72,.
scalding,970,2.58,2.06,5.31,2.69,3.88,2.27,1
rescue,352,7.50,1.40,5.95,2.78,6.20,2.19,15
scandal,971,2.68,1.73,5.27,2.41,3.91,1.66,8
resent,959,3.64,2.28,4.90,1.81,5.10,2.17,8
scapegoat,972,3.52,1.66,4.50,2.24,3.48,1.63,1
reserved,353,4.87,1.89,3.38,1.95,3.94,1.71,27
scar,973,3.18,1.99,4.91,2.45,3.55,1.63,10
respect,354,7.95,1.05,5.25,2.51,7.40,1.73,125
scared,604,2.08,1.44,6.81,2.00,2.42,2.00,21
respectful,355,7.34,1.01,5.00,2.57,5.89,2.41,4
scholar,374,7.35,1.47,5.17,2.62,6.96,1.94,15
restaurant,960,6.90,1.62,4.65,2.56,5.15,1.42,41
scissors,974,4.95,1.28,5.00,1.34,5.36,1.89,1
reunion,961,6.50,2.84,6.58,2.38,5.50,1.82,11
scorching,975,3.95,2.06,5.32,2.40,4.05,2.11,.
reverent,356,5.20,1.32,3.80,1.51,4.50,1.70,3
scorn,375,2.72,2.09,5.45,2.68,3.69,2.79,4
revolt,357,4.24,1.81,6.41,2.41,6.00,1.85,8
scornful,376,2.27,1.51,5.69,2.68,4.42,2.61,5
revolver,962,2.48,1.78,5.82,2.70,3.10,2.26,14
scorpion,976,3.75,3.04,6.42,2.67,3.92,2.60,.
reward,358,7.78,1.73,5.23,2.79,6.13,2.16,15
scream,605,3.73,2.13,7.38,1.44,4.81,2.40,13
riches,359,7.85,2.15,5.96,2.82,6.88,2.60,2
scum,377,2.04,1.24,4.72,2.41,4.46,1.96,.
ridicule,360,2.62,2.25,6.54,2.69,3.73,2.89,5
scurvy,378,2.96,1.95,4.92,2.66,4.60,2.63,1
rifle,603,2.62,1.96,6.23,2.18,2.96,2.14,63
seasick,379,1.96,1.25,6.15,2.82,3.38,2.61,.
rigid,963,3.25,1.78,4.58,2.28,4.42,1.91,24
seat,380,5.17,0.89,3.17,1.64,5.00,1.71,54
riot,361,2.50,2.04,6.58,2.79,4.35,2.78,7
secure,381,8.00,1.29,3.24,2.73,6.12,2.77,30
river,362,6.93,1.73,4.69,2.54,5.34,2.02,165
selfish,382,2.04,1.31,5.58,2.56,4.33,2.50,8
roach,363,1.95,1.59,7.50,2.24,4.50,3.00,2
sentiment,977,6.12,1.86,4.50,2.16,5.35,1.23,23
robber,964,2.18,1.68,5.81,2.80,3.00,2.30,2
serious,383,4.82,1.49,4.00,1.73,4.93,1.51,116
rock,965,5.32,1.17,4.81,2.27,5.05,1.99,75
severe,978,2.38,1.50,5.48,2.23,3.50,1.95,39
rollercoaster,528,8.23,1.42,8.50,1.03,5.00,2.74,.
sex,384,7.55,1.88,6.85,2.23,5.25,2.10,84
romantic,364,8.45,0.86,7.36,2.44,6.05,2.24,32
sexy,530,7.88,1.28,7.24,1.67,6.38,2.45,2
rotten,365,2.00,1.31,4.70,2.29,4.22,2.15,2
shadow,385,4.29,1.32,4.56,2.27,4.26,1.77,36
rough,966,4.76,2.23,5.68,2.25,4.81,1.72,41
shamed,386,2.05,1.23,5.80,2.31,2.80,2.17,1
rude,366,2.35,2.06,6.26,2.36,4.61,2.35,6
shark,606,3.50,2.34,7.08,2.02,2.42,1.75,.
runner,571,5.69,1.83,5.62,2.25,5.15,1.93,1
sheltered,387,5.95,1.93,3.95,1.67,3.50,2.12,4
rusty,367,3.84,1.61,3.59,2.08,4.39,1.69,8
ship,388,5.75,1.71,4.75,2.59,5.40,2.48,83
sad,368,1.43,0.84,4.09,2.48,3.00,2.09,35
shotgun,979,2.82,1.97,6.41,2.15,4.00,2.45,8
safe,967,7.71,1.33,3.75,2.91,5.83,2.32,58
shriek,980,3.75,2.17,5.75,2.91,4.12,1.96,5
sailboat,529,7.96,1.28,5.00,3.10,5.92,1.70,1
shy,389,4.68,2.17,3.69,2.31,3.65,2.28,13
saint,968,7.05,1.53,4.00,2.31,5.59,2.06,16
sick,607,1.69,1.05,4.15,2.65,2.92,1.65,51
sickness,390,2.08,1.38,5.36,2.77,3.08,2.27,6
spring,993,8.00,1.48,4.50,2.69,6.18,2.11,127
silk,391,7.16,1.40,3.50,2.62,4.84,2.10,12
square,408,4.69,0.97,3.41,1.76,4.48,1.64,143
silly,981,7.73,1.75,5.50,2.26,6.23,2.16,15
stagnant,994,4.14,1.93,3.91,2.24,4.67,1.53,5
sin,392,2.50,1.66,6.15,2.24,3.31,2.36,53
star,409,7.23,1.84,5.73,2.38,4.46,2.04,25
sinful,393,2.88,2.45,6.27,2.75,4.31,2.91,3
startled,410,4.56,1.98,7.19,2.00,3.96,1.17,21
sissy,394,2.81,1.67,5.23,2.67,2.92,2.53,.
starving,611,2.00,1.23,5.23,2.49,3.62,2.14,6
skeptical,395,4.20,1.38,4.62,1.92,4.24,1.54,7
statue,995,5.23,0.61,3.09,1.82,4.45,1.06,17
skijump,531,7.08,1.65,7.35,1.79,4.46,2.30,.
stench,996,1.82,1.37,4.57,2.62,4.05,2.13,1
skull,608,3.96,1.54,4.12,1.86,4.77,1.45,3
stiff,997,4.29,1.95,3.86,2.12,4.86,1.71,21
sky,572,7.46,1.42,4.19,2.00,5.31,1.78,58
stink,411,3.13,2.10,4.26,2.18,4.22,2.09,3
skyscraper,573,5.73,1.78,5.81,2.37,4.31,2.28,2
stomach,998,4.71,2.12,4.04,2.55,4.67,1.58,37
slap,396,2.56,1.39,6.58,2.64,4.38,2.38,2
stool,999,5.00,1.88,4.52,2.18,4.67,1.77,8
slaughter,397,1.44,0.91,6.71,2.52,3.47,2.91,10
storm,1000,4.62,2.25,5.38,2.25,4.24,2.26,26
slave,398,1.62,1.02,7.00,2.74,2.76,2.59,30
stove,1001,4.62,1.77,4.69,2.40,5.64,2.16,15
sleep,399,7.03,1.95,3.03,2.95,5.79,2.54,65
street,412,5.19,0.63,3.19,1.96,4.65,1.38,244
slime,400,2.25,1.61,5.53,2.72,4.16,2.05,1
stress,413,2.00,1.48,7.47,2.42,3.58,2.46,107
slow,982,3.91,1.57,2.73,2.00,4.23,1.63,60
strong,414,6.91,1.47,5.83,2.29,7.09,2.19,202
slum,401,2.46,1.33,5.00,2.43,3.81,2.12,8
stupid,415,2.10,1.19,4.97,2.64,2.57,1.85,24
slush,983,4.67,1.86,3.92,2.30,4.96,1.33,.
subdued,416,4.54,1.43,2.93,1.94,3.68,1.42,8
smallpox,402,2.54,1.96,5.44,2.06,4.04,2.13,2
success,417,8.35,0.93,6.04,2.84,7.35,2.39,93
smooth,984,6.48,2.06,4.85,2.62,5.32,1.99,42
suffocate,418,1.52,1.08,6.57,2.97,3.00,2.86,1
snake,609,2.58,1.68,6.92,1.92,3.08,1.73,44
