Word	Havg	StDev	FreqList
صدقني	2841	5.84	1.0759	3671
الناس	2842	5.84	1.2993	126
حصلت	2843	5.84	1.1314	271
فكرت	2844	5.84	0.6809	997
لأجلي	2845	5.84	0.9765	4741
منظر	2846	5.84	1.1132	5631
طبعا	2847	5.84	0.9553	2440
تقدر	2848	5.84	1.0174	4495
احتفظ	2849	5.84	0.9337	4078
عادت	2850	5.84	0.8418	2539
الفضائية	2851	5.84	0.9553	7339
نراك	2852	5.84	1.2182	7100
صورته	2853	5.84	1.0174	9682
الموعد	2854	5.84	1.0947	3365
علاقتك	2855	5.84	1.1493	7699
يتذكر	2856	5.84	0.8418	7826
المنتج	2857	5.84	0.8172	8611
عدنا	2858	5.82	1.1551	4791
تدريب	2859	5.82	1.1551	4089
مكتبى	2860	5.82	1.1551	9766
مواطن	2861	5.82	1.1899	7902
طلاب	2862	5.82	1.0039	8557
سنفعله	2863	5.82	1.1008	5274
جانبك	2864	5.82	1.0821	8184
كلنا	2865	5.82	1.3045	827
ياصاح	2866	5.82	1.0039	9469
تمت	2867	5.82	1.8702	720
البريطانية	2868	5.82	1.3045	7904
تسكن	2869	5.82	1.0821	7568
المجموعة	2870	5.82	0.9190	2413
اعمل	2871	5.82	0.9833	1703
عمرو	2872	5.82	1.1726	9998
جناح	2873	5.82	1.1008	5416
ستأتى	2874	5.82	0.8734	7761
بمعرفة	2875	5.82	0.8734	9851
تحاول	2876	5.82	1.1192	646
تقفز	2877	5.82	1.0437	7578
سأبدأ	2878	5.82	0.8965	5053
سأحضر	2879	5.82	0.9833	1800
نلت	2880	5.82	1.1373	5513
نتأكد	2881	5.82	1.0437	7551
الحضور	2882	5.82	1.0240	2795
الأساسي	2883	5.82	0.9409	9338
المهم	2884	5.82	1.1192	1503
خرجنا	2885	5.82	1.1726	8387
انجلترا	2886	5.82	1.1899	7021
خيار	2887	5.82	1.1551	1618
إضافية	2888	5.82	0.8965	4736
يجد	2889	5.82	0.8003	3321
تريدينه	2890	5.82	0.9624	5628
أصبحنا	2891	5.82	1.1899	5630
أحدث	2892	5.82	0.9190	7295
الميدان	2893	5.82	1.3506	7676
لدي	2894	5.82	1.1008	111
مباشرة	2895	5.82	1.1192	666
كلية	2896	5.82	1.3506	3663
أجل	2897	5.82	1.0821	45
أصبحت	2898	5.82	0.8497	625
نسمح	2899	5.82	0.9833	9231
يجرى	2900	5.82	1.1726	4070
الوجوه	2901	5.82	1.0240	9012
معاملة	2902	5.82	0.9833	8705
المنازل	2903	5.82	1.1899	6799
قصتك	2904	5.82	1.0240	5977
أعطاني	2905	5.82	0.9409	4660
غدا	2906	5.82	1.0240	760
لمشاهدة	2907	5.82	0.8497	6003
تدرس	2908	5.82	1.0821	9336
تجارب	2909	5.82	1.2728	8692
لأجله	2910	5.82	1.0437	6430
المفتاح	2911	5.82	0.9190	1620
أحضرت	2912	5.82	0.9409	1373
ستعمل	2913	5.82	0.9624	3000
يستيقظ	2914	5.82	1.0437	9479
ظهور	2915	5.82	1.0631	7936
ولديك	2916	5.82	1.2070	8920
تعلمى	2917	5.82	1.1008	6824
لبعضنا	2918	5.82	1.0240	8553
للسيارة	2919	5.82	1.0039	8445
نمت	2920	5.82	1.6123	2941
بإمكانه	2921	5.82	1.0437	5301
الكفاية	2922	5.82	1.0039	1166
أعطها	2923	5.82	1.0437	9446
تتنفس	2924	5.82	0.9409	7925
عينى	2925	5.82	1.0039	8619
رابطة	2926	5.82	0.9190	9366
إفتح	2927	5.82	0.9833	2300
درست	2928	5.82	1.1551	5683
جئت	2929	5.82	0.9409	775
نورا	2930	5.82	1.1192	6885
تحدثنا	2931	5.82	0.9624	3392
ترتدي	2932	5.82	0.9409	2587
بمناسبة	2933	5.82	0.9833	7956
يأتى	2934	5.80	0.9258	2263
كول	2935	5.80	1.2454	3034
بالعالم	2936	5.80	1.0302	5511
نيويورك	2937	5.80	1.6782	655
الحركة	2938	5.80	0.9035	2637
نخرج	2939	5.80	0.9897	1052
سأجد	2940	5.80	0.9897	4644
سنفعل	2941	5.80	0.8330	1143
وادي	2942	5.80	1.1780	8959
الاحمر	2943	5.80	1.4846	7591
السترة	2944	5.80	1.2289	6811
أرض	2945	5.80	0.9258	2222
اراها	2946	5.80	1.0102	8565
وأكثر	2947	5.80	0.8571	5739
صغيرة	2948	5.80	1.4428	405
خذها	2949	5.80	1.1066	3166
سنكون	2950	5.80	1.1249	985
يعرف	2951	5.80	0.9258	302
أنهض	2952	5.80	1.1780	6151
وجود	2953	5.80	0.7559	788
الأمم	2954	5.80	1.1606	8213
قررت	2955	5.80	1.0690	1661
مخرج	2956	5.80	1.1780	3324
أدركت	2957	5.80	0.9035	3207
مبكر	2958	5.80	1.3401	5813
أية	2959	5.80	1.3093	454
البقاء	2960	5.80	1.2778	684
قارب	2961	5.80	1.1606	3258
وأعرف	2962	5.80	0.8806	5973
أزرق	2963	5.80	1.0302	4991
الترجمه	2964	5.80	1.0302	5351
برامج	2965	5.80	0.9689	8464
سيصل	2966	5.80	0.9476	6698
أترغب	2967	5.80	0.8330	8655
ذهني	2968	5.80	0.9258	9900
معقول	2969	5.80	0.9258	2454
المهنة	2970	5.80	0.9689	9511
الجوي	2971	5.80	1.3851	8202
معالجة	2972	5.80	1.3851	5328
سأدخل	2973	5.80	0.8571	6066
بأكثر	2974	5.80	0.9258	8661
حالما	2975	5.80	1.1606	2136
أراكم	2976	5.80	0.9897	4273
الشخصيات	2977	5.80	1.1066	7955
تلمسني	2978	5.80	1.3401	5175
اسمك	2979	5.80	1.1780	854
سأتصل	2980	5.80	0.7825	1347
نسير	2981	5.80	0.8081	8049
العودة	2982	5.80	0.9689	659
الجنسية	2983	5.80	1.3553	4614
كرجل	2984	5.80	1.0880	5126
هامة	2985	5.80	1.1606	8886
جاد	2986	5.80	1.3553	1488
إسمي	2987	5.80	1.0498	2741
المجتمع	2988	5.80	1.3851	3149
الاحتفاظ	2989	5.80	0.9035	6829
تتمكن	2990	5.80	0.8081	5302
تصعد	2991	5.80	0.8571	7721
سيد	2992	5.80	1.1606	133
الجواب	2993	5.80	0.8571	4332
متجر	2994	5.80	1.1606	3119
نعود	2995	5.80	1.0102	1244
نال	2996	5.80	1.2778	9756
أعطيتها	2997	5.80	0.9476	8941
قدمت	2998	5.80	1.0302	4371
ناس	2999	5.80	1.1429	2234
تجد	3000	5.80	0.9035	1154
والكثير	3001	5.80	0.9897	7765
تعرفون	3002	5.80	0.8806	1812
بدأت	3003	5.80	0.9689	530
مندهش	3004	5.80	1.2778	8115
تأكيد	3005	5.80	0.8330	2310
وظيفتك	3006	5.80	1.3997	6619
دعوه	3007	5.80	0.9897	8192
اهم	3008	5.80	0.9689	8091
أهم	3009	5.80	0.9035	2625
التواجد	3010	5.80	0.9689	7492
يسبق	3011	5.80	0.9258	2903
نمشي	3012	5.80	0.8571	8935
المصعد	3013	5.80	0.9897	3219
استمعوا	3014	5.80	0.9035	7750
عجب	3015	5.80	1.0880	6210
المساعد	3016	5.80	1.0880	8934
مهمتك	3017	5.80	1.0498	6789
الدولية	3018	5.80	1.2122	7075
النوافذ	3019	5.80	1.0102	5000
رؤيتها	3020	5.80	1.0302	3939
لنتحرك	3021	5.80	0.9689	5958
يقفز	3022	5.80	1.0880	8969
لتحقيق	3023	5.80	1.0880	9970
الأحمر	3024	5.80	1.3851	1737
أدرس	3025	5.80	1.0690	7949
الفور	3026	5.78	1.3893	3181
بلدة	3027	5.78	1.0160	3943
أفتح	3028	5.78	0.9750	3509
إتصل	3029	5.78	1.1830	2846
السفير	3030	5.78	1.0554	7588
يمكنه	3031	5.78	0.7900	660
ساعدنا	3032	5.78	1.2501	5897
العربة	3033	5.78	0.9538	3162
كاليفورنيا	3034	5.78	1.4184	2195
يقترب	3035	5.78	1.1301	4052
الرسالة	3036	5.78	0.9538	1664
حصلوا	3037	5.78	1.3445	5816
النظرة	3038	5.78	1.0359	2316
أعطيته	3039	5.78	0.8640	5587
القديس	3040	5.78	1.5022	6090
الممكن	3041	5.78	0.8401	617
تريدنى	3042	5.78	1.0746	4654
بالضبط	3043	5.78	1.1119	390
الأراضي	3044	5.78	1.1119	7186
مجموعة	3045	5.78	1.0160	840
سمعة	3046	5.78	1.1301	7162
عثرت	3047	5.78	1.2171	3690
جادة	3048	5.78	1.1830	3438
مربية	3049	5.78	1.1657	9951
نراه	3050	5.78	0.8873	7469
قميص	3051	5.78	1.1657	5918
سأتحدث	3052	5.78	0.9957	5849
تعرفوا	3053	5.78	0.8873	7097
تعلمي	3054	5.78	1.0554	3423
تعطينا	3055	5.78	1.0359	8841
نصل	3056	5.78	1.2171	1451
مدينة	3057	5.78	1.0934	776
حبلى	3058	5.78	1.2824	7211
النافذه	3059	5.78	0.7365	8457
أتمكن	3060	5.78	0.8154	4138
اقرب	3061	5.78	1.0359	9293
تدرك	3062	5.78	0.8154	2774
أتحدث	3063	5.78	0.8401	574
للوصول	3064	5.78	0.9538	3523
الرئيسى	3065	5.78	1.0746	6720
مقدمة	3066	5.78	1.0746	7190
يهم	3067	5.78	0.8640	769
عصر	3068	5.78	1.1830	5799
يسكن	3069	5.78	0.9100	7666
بوسعي	3070	5.78	0.9750	3524
لدى	3071	5.78	1.0359	318
الغابات	3072	5.78	1.4609	7134
سيعمل	3073	5.78	0.7083	7791
المكالمات	3074	5.78	1.0746	6761
سيبدأ	3075	5.78	0.7900	5474
ويمكننا	3076	5.78	1.0554	9496
جنيه	3077	5.78	1.5556	7889
قادمون	3078	5.78	0.8154	2223
موجودة	3079	5.78	1.1119	1514
نجد	3080	5.78	0.7900	1191
الحركات	3081	5.78	1.0934	7992
مائة	3082	5.78	1.2501	2094
الملهى	3083	5.78	2.0232	8950
التعبير	3084	5.78	0.7900	5330
أجري	3085	5.78	1.2664	6146
لتحصل	3086	5.78	0.8873	8136
تتجول	3087	5.78	0.8640	9614
سيأتي	3088	5.78	0.9750	1911
استمري	3089	5.78	0.8873	7895
تم	3090	5.78	1.1830	208
تذكروا	3091	5.78	1.2982	5764
طبيب	3092	5.78	1.6073	1067
القدر	3093	5.78	1.4748	1958
ترغبين	3094	5.78	0.8401	3983
تريني	3095	5.78	0.9322	6435
لفريق	3096	5.78	1.2337	7438
اعطيك	3097	5.78	0.9100	5827
الألمان	3098	5.78	1.2501	4479
غد	3099	5.78	0.9322	5661
القميص	3100	5.78	1.0746	5314
عينه	3101	5.78	1.1480	8983
الشاشة	3102	5.78	1.1480	6468
أشعر	3103	5.78	0.9100	306
فرنسي	3104	5.78	1.2664	8928
توقيعك	3105	5.78	1.0934	9894
اركب	3106	5.78	0.8873	5826
جسر	3107	5.78	0.9750	5690
تدعوه	3108	5.78	0.7900	9212
يفكر	3109	5.78	0.9538	3039
جسدك	3110	5.78	1.0554	4941
حفظ	3111	5.78	0.8401	9867
تود	3112	5.78	0.8873	1381
بسرعة	3113	5.78	0.9538	312
للناس	3114	5.78	0.9538	3911
الخيارات	3115	5.78	0.8873	9590
تجربة	3116	5.78	1.2171	2659
سمع	3117	5.78	0.9100	4263
سيفعل	3118	5.78	1.0160	2420
الأرض	3119	5.78	0.9538	367
الجناح	3120	5.78	0.9957	4981
بالكثير	3121	5.78	1.0934	3234
معكم	3122	5.76	0.8221	1474
رقمك	3123	5.76	1.0214	7148
شاهد	3124	5.76	0.9596	1948
ستأتي	3125	5.76	0.7440	2216
يلبس	3126	5.76	1.0797	7475
الجسم	3127	5.76	1.2707	3038
يقيم	3128	5.76	1.0012	7846
افهم	3129	5.76	0.9806	1921
الإحتفاظ	3130	5.76	1.1168	8668
فم	3131	5.76	1.2382	8496
ادري	3132	5.76	1.0412	6883
نتصل	3133	5.76	1.0012	5445
ممكن	3134	5.76	0.9596	546
سنعمل	3135	5.76	0.7969	6304
الصحيفة	3136	5.76	1.1350	8228
أجـل	3137	5.76	1.0606	6019
أعود	3138	5.76	1.0214	826
تجري	3139	5.76	1.0412	3134
المخلوقات	3140	5.76	1.3486	3921
سيتم	3141	5.76	0.8935	1943
وجهها	3142	5.76	0.8466	5220
قرية	3143	5.76	0.9381	4454
جميعكم	3144	5.76	1.1350	2344
وسيكون	3145	5.76	1.0797	3863
دائما	3146	5.76	1.0797	291
ستار	3147	5.76	1.2545	6910
أسمح	3148	5.76	0.7440	2991
وحاول	3149	5.76	1.0984	9897
تصور	3150	5.76	1.1704	6795
تحصلي	3151	5.76	0.9161	6993
وصفة	3152	5.76	0.9381	9109
رجالى	3153	5.76	1.0606	8582
للابد	3154	5.76	1.4078	7160
صلصة	3155	5.76	1.3024	8338
الخطوة	3156	5.76	1.1168	5171
بالمزيد	3157	5.76	1.0606	9896
أنتهيت	3158	5.76	1.8245	8217
تعال	3159	5.76	0.9161	160
أريد	3160	5.76	0.8704	70
الأجهزة	3161	5.76	1.2382	8981
ملابسها	3162	5.76	1.1528	9402
مكتبك	3163	5.76	1.0984	5223
أعلم	3164	5.76	1.1168	124
سيظهر	3165	5.76	0.8221	9226
الراقصة	3166	5.76	1.8468	8612
صوتي	3167	5.76	0.9596	6399
تعالى	3168	5.76	1.1350	830
شاهدت	3169	5.76	0.7709	2602
هاتفك	3170	5.76	1.1528	3290
مجتمع	3171	5.76	1.0797	7705
نكمل	3172	5.76	1.1350	9160
حاولوا	3173	5.76	0.8704	4225
سافعل	3174	5.76	0.9381	6060
know	3175	5.76	1.2216	4867
الشيوخ	3176	5.76	1.5059	4719
بدء	3177	5.76	0.7709	5459
لليلة	3178	5.76	0.9596	6451
أجده	3179	5.76	0.7709	5728
ترفع	3180	5.76	1.0412	6302
سأتولى	3181	5.76	0.8466	4322
أحضر	3182	5.76	0.8704	692
يمكنك	3183	5.76	1.0214	106
أتفهم	3184	5.76	1.0412	1646
اقترب	3185	5.76	0.7969	5207
تسعى	3186	5.76	0.7969	8547
اسرع	3187	5.76	1.0797	1956
القفز	3188	5.76	1.0214	4878
معنا	3189	5.76	0.9381	444
يذكر	3190	5.76	1.1528	5872
دوري	3191	5.76	0.8935	3975
الدخول	3192	5.76	1.0606	941
تجدي	3193	5.76	0.9806	7564
الممثل	3194	5.76	1.1528	9811
تأتين	3195	5.76	0.9381	7262
يصبح	3196	5.76	0.8935	1009
لرؤيته	3197	5.76	0.9161	9812
عملنا	3198	5.76	1.0797	2309
هارفارد	3199	5.76	1.5592	8044
ارتفاع	3200	5.76	1.1168	7814
إستعدوا	3201	5.76	0.9381	9920
باور	3202	5.76	1.2216	6421
للرجال	3203	5.74	1.5093	7449
أختار	3204	5.74	0.8033	6000
عمرك	3205	5.74	1.2090	2204
خذ	3206	5.74	1.0264	409
جولة	3207	5.74	1.0063	2159
أنظروا	3208	5.74	0.9216	2173
يفسر	3209	5.74	1.0844	8268
نحتاجك	3210	5.74	1.2257	9021
صلة	3211	5.74	1.0264	6450
إسمح	3212	5.74	1.1395	9848
الأساسية	3213	5.74	1.1214	5980
يمكنها	3214	5.74	0.7508	1530
الشرب	3215	5.74	1.4682	5239
أعطيها	3216	5.74	0.8526	9556
بالترجمة	3217	5.74	0.8526	2544
أطول	3218	5.74	0.8992	2238
سيأتى	3219	5.74	1.0063	6268
تحصل	3220	5.74	0.6328	737
أهدأ	3221	5.74	1.3524	5468
الخزنة	3222	5.74	1.0461	8052
التأكد	3223	5.74	1.0461	4336
والجميع	3224	5.74	0.9216	8441
افتحي	3225	5.74	0.8526	5269
الشركات	3226	5.74	0.9216	7308
اخبرنى	3227	5.74	1.1214	3719
طوكيو	3228	5.74	1.1920	7856
أمام	3229	5.74	1.0654	780
اعلى	3230	5.74	0.9216	4595
راقصة	3231	5.74	2.0782	5749
ستصل	3232	5.74	0.8762	6600
نستخدم	3233	5.74	0.8992	5216
جدا	3234	5.74	1.0654	105
لتصبح	3235	5.74	1.1031	6664
غاية	3236	5.74	1.2090	2161
توقعت	3237	5.74	1.1214	3890
مدينه	3238	5.74	0.9435	8269
قابلت	3239	5.74	0.8283	1859
البيئة	3240	5.74	1.1395	8476
الرأي	3241	5.74	0.9649	5531
أعمل	3242	5.74	0.9858	565
الإدارة	3243	5.74	1.1920	5885
حسابي	3244	5.74	1.1395	8073
العهد	3245	5.74	1.3372	8014
تشعرين	3246	5.74	1.0461	1929
اسمي	3247	5.74	1.1920	806
ميعاد	3248	5.74	0.9435	5939
الطعم	3249	5.74	0.9858	8222
يبقى	3250	5.74	0.9858	1481
تجرب	3251	5.74	1.1031	6927
الشركة	3252	5.74	0.8762	1544
أصل	3253	5.74	1.1395	2178
آثار	3254	5.74	1.4682	4234
صدر	3255	5.74	1.3372	5450
كتابة	3256	5.74	1.1031	3353
يعود	3257	5.74	1.0654	906
ابدأ	3258	5.74	1.1031	3401
إتصال	3259	5.74	1.0461	3706
التلال	3260	5.74	1.2586	9252
تثبت	3261	5.74	1.1920	6383
اصنع	3262	5.74	1.0264	6934
لمزيد	3263	5.74	0.9216	6571
الكاتب	3264	5.74	1.2090	7716
الخيار	3265	5.74	1.0654	3913
عمرى	3266	5.74	1.3063	7494
الأماكن	3267	5.74	1.2090	2626
تعلمت	3268	5.74	1.0844	2332
نقدم	3269	5.74	0.7775	6841
مباشر	3270	5.74	0.9435	4187
إيجاد	3271	5.74	0.8283	1742
كافي	3272	5.74	0.9216	2823
ترتيب	3273	5.74	0.9435	5369
اعود	3274	5.74	0.9435	2980
تريده	3275	5.74	0.7508	1212
تدعوني	3276	5.74	0.8992	6554
التجاري	3277	5.74	1.0063	7963
أري	3278	5.74	0.8283	3952
تتم	3279	5.74	0.8762	5298
المكالمة	3280	5.74	1.0654	4114
الخطة	3281	5.74	1.2747	1604
يعودون	3282	5.74	0.9216	8099
أداء	3283	5.74	0.8283	5327
يأتوا	3284	5.74	0.8283	7330
تتحدثين	3285	5.74	1.1031	1818
الأيدي	3286	5.74	0.9216	5530
راعي	3287	5.74	0.8762	5377
موجودين	3288	5.74	0.8762	8837
جيم	3289	5.74	1.0844	1293
أرتدى	3290	5.74	0.8526	9401
منة	3291	5.74	1.1747	8293
يوجد	3292	5.74	0.8992	123
دخلنا	3293	5.74	0.9649	7966
الطويل	3294	5.74	0.9858	5076
فرقة	3295	5.74	1.3674	1759
حيوانات	3296	5.74	1.7357	3343
القط	3297	5.74	1.2906	6313
تصبح	3298	5.74	0.9216	709
مالا	3299	5.74	1.1920	4190
اتصال	3300	5.74	0.9216	2740
أتستطيع	3301	5.74	0.9858	9859
جهز	3302	5.74	0.9649	7434
للتأكد	3303	5.74	1.0063	9172
الرئيسي	3304	5.74	1.0654	2077
يحتفظ	3305	5.74	0.9216	7950
الكائنات	3306	5.72	1.2296	6655
خفيف	3307	5.72	1.3254	8168
نفعل	3308	5.72	0.9697	452
افريقيا	3309	5.72	1.4003	9839
عيني	3310	5.72	1.0698	2720
اوكي	3311	5.72	1.0110	3599
سنتحدث	3312	5.72	0.9044	4807
آبي	3313	5.72	1.5524	3881
مؤكد	3314	5.72	1.1073	4466
رئيس	3315	5.72	1.6787	652
أراها	3316	5.72	0.9906	3097
تتحدثون	3317	5.72	1.0110	9980
الدراسة	3318	5.72	1.4148	5029
سكاي	3319	5.72	1.3559	8125
سمعتك	3320	5.72	1.1613	4476
علاقه	3321	5.72	0.9906	6724
الإنجيل	3322	5.72	1.8299	9157
تستطع	3323	5.72	0.9044	3638
غالية	3324	5.72	1.7028	9375
ليصبح	3325	5.72	1.0506	9412
اهدئي	3326	5.72	1.5124	5850
عملها	3327	5.72	0.8091	5694
العرض	3328	5.72	1.0110	1034
تراها	3329	5.72	0.9485	4199
الستائر	3330	5.72	0.9906	8931
تقترح	3331	5.72	1.0309	7196
بالمال	3332	5.72	1.5124	3765
تذكرني	3333	5.72	1.3099	8737
إقامة	3334	5.72	1.1787	6593
الإختيار	3335	5.72	0.8340	8430
ستأتين	3336	5.72	0.9267	8760
الجو	3337	5.72	1.3559	1431
تخرجي	3338	5.72	1.2623	7030
هوية	3339	5.72	0.9267	4578
الرجل	3340	5.72	1.0887	108
حصلتي	3341	5.72	0.9267	9833
تروي	3342	5.72	0.9906	4546
تسمعني	3343	5.72	0.9267	1728
نعبر	3344	5.72	1.0698	9763
سكان	3345	5.72	1.0309	5011
تعرفى	3346	5.72	1.0698	3513
يشاهد	3347	5.72	0.7835	7111
أجلك	3348	5.72	0.9485	1105
يجدوا	3349	5.72	0.8581	8339
الإرسال	3350	5.72	1.0309	9177
وجد	3351	5.72	0.8581	2025
الحديث	3352	5.72	0.8581	942
تشعر	3353	5.72	0.9485	599
اولا	3354	5.72	1.1613	2384
لغة	3355	5.72	0.9697	4565
أعطيه	3356	5.72	0.7570	5864
ألاف	3357	5.72	0.9485	6072
صحيفة	3358	5.72	1.2461	5782
المدخل	3359	5.72	0.9906	4705
الطويلة	3360	5.72	0.9485	5217
الغرفة	3361	5.72	1.0506	716
للمدينة	3362	5.72	0.9044	7612
يجمع	3363	5.72	0.8581	9860
نمارس	3364	5.72	0.9697	7762
الاعمال	3365	5.72	1.0698	7572
فمك	3366	5.72	1.0698	1566
تنفيذ	3367	5.72	0.9906	5514
الفرنسي	3368	5.72	1.0506	6249
تذكرة	3369	5.72	1.0309	3852
تشغيل	3370	5.72	0.9267	4195
أتشعر	3371	5.72	1.1787	9605
سراح	3372	5.72	1.1073	5117
تكلمنا	3373	5.72	0.9906	9428
للدخول	3374	5.72	0.9485	5559
أنجلوس	3375	5.72	1.3559	2907
افتح	3376	5.72	0.8816	1364
أتصلت	3377	5.72	0.9267	6691
أتأكد	3378	5.72	0.9485	4691
عهد	3379	5.72	0.9044	8434
تحدي	3380	5.72	1.2784	9436
ولديه	3381	5.72	1.1613	8020
تريد	3382	5.72	1.0110	94
اكون	3383	5.72	1.0309	711
أحاول	3384	5.72	1.0309	467
نشأت	3385	5.72	0.7835	6612
جيرى	3386	5.72	1.2461	7042
ستشعر	3387	5.72	1.1073	7905
نادر	3388	5.72	1.1073	7567
ترجمه	3389	5.72	1.1256	6275
معك	3390	5.72	1.0110	141
صالة	3391	5.72	0.8816	6280
تخبرينى	3392	5.72	0.7835	7914
الصوت	3393	5.72	0.8091	1390
تذاكر	3394	5.72	1.4148	5131
سندخل	3395	5.70	1.0926	8879
مشاهد	3396	5.70	0.9530	9965
كبار	3397	5.70	1.1824	4689
غرفة	3398	5.70	1.0152	419
تبدأ	3399	5.70	1.3439	1144
سأفعله	3400	5.70	0.8144	4042
يفعلها	3401	5.70	0.9530	5061
وعدتني	3402	5.70	1.0546	6682
قطار	3403	5.70	1.1112	3032
ذاكرة	3404	5.70	1.0351	7056
مئات	3405	5.70	1.3887	3406
القومي	3406	5.70	1.3286	6107
وجهه	3407	5.70	0.7354	2121
جدية	3408	5.70	1.1995	8746
ساعود	3409	5.70	1.0152	9876
أبقي	3410	5.70	0.8864	3829
أسمعه	3411	5.70	0.9091	8110
بنفسى	3412	5.70	1.0152	3800
أنـا	3413	5.70	1.2164	1595
البلدة	3414	5.70	1.0738	1066
مكتب	3415	5.70	1.0926	863
أتعرف	3416	5.70	0.8391	496
عادوا	3417	5.70	1.0152	8511
للسيد	3418	5.70	0.9313	4486
يتوقع	3419	5.70	0.8864	7258
وضعت	3420	5.70	1.1294	1257
عرفته	3421	5.70	0.7354	5769
تحتفظ	3422	5.70	0.8391	4547
يدي	3423	5.70	0.9313	1648
اليوم	3424	5.70	0.8864	92
أخبرتني	3425	5.70	0.9949	1729
عاد	3426	5.70	0.9742	1197
يذكرني	3427	5.70	0.7354	8082
قاعة	3428	5.70	0.9091	3549
تفكير	3429	5.70	0.9530	5899
الملاحظة	3430	5.70	0.8631	8756
العمال	3431	5.70	1.2657	5501
انهض	3432	5.70	1.2976	2105
يثبت	3433	5.70	0.8631	5038
توصيلة	3434	5.70	1.0546	9135
أعمال	3435	5.70	1.2817	1773
ريتش	3436	5.70	1.2164	9343
تسمعنى	3437	5.70	0.8391	5105
سيدنى	3438	5.70	1.2657	8267
للمزيد	3439	5.70	1.1473	7069
عملة	3440	5.70	1.0546	9113
كاتب	3441	5.70	1.1112	4357
سأكون	3442	5.70	0.8144	393
المحاولة	3443	5.70	0.9530	3395
خذي	3444	5.70	1.0546	1523
اشرح	3445	5.70	0.8391	9205
للعالم	3446	5.70	0.9949	4613
هاى	3447	5.70	1.1294	1253
منزله	3448	5.70	1.1995	4264
يومك	3449	5.70	1.0351	3443
الدرجات	3450	5.70	1.0152	9668
إتصلي	3451	5.70	1.1824	9541
أردنا	3452	5.70	0.8864	5815
مالك	3453	5.70	1.0546	2831
الجسد	3454	5.70	1.1294	5124
أكلمك	3455	5.70	1.0926	9613
إنطلق	3456	5.70	1.0351	8583
المهمة	3457	5.70	0.9530	1335
الدومنة	3458	5.70	1.2657	9608
تريديني	3459	5.70	0.9949	9104
أثار	3460	5.70	1.3740	8372
بالجلوس	3461	5.70	0.6776	4198
الإعلان	3462	5.70	0.9949	7684
الاعتماد	3463	5.70	1.5017	9194
تعرف	3464	5.70	0.9530	93
أدخل	3465	5.70	0.7354	1307
المركبة	3466	5.70	0.9091	7209
المخرج	3467	5.70	0.8864	4986
يقود	3468	5.70	0.9949	2738
الجسر	3469	5.70	0.8864	2884
السحب	3470	5.70	1.3286	9406
حاول	3471	5.70	0.8631	678
مؤثر	3472	5.70	1.5017	8799
القادمه	3473	5.70	0.8631	6423
تعرفني	3474	5.70	1.2164	4135
وجودي	3475	5.70	0.9091	6165
يجري	3476	5.70	1.0351	580
المنظر	3477	5.70	1.0926	5984
أفعلها	3478	5.70	0.9530	2592
ahmed	3479	5.70	1.1995	8332
بلد	3480	5.70	0.8864	5745
بشراء	3481	5.70	1.1294	8095
ستانلي	3482	5.70	1.5017	8086
لليمين	3483	5.70	1.0351	8214
تعملي	3484	5.70	0.9313	9842
تبادل	3485	5.70	0.9091	6638
شركاء	3486	5.70	1.0546	6627
أتذكر	3487	5.70	0.8391	744
نتحدث	3488	5.70	0.6776	696
الموجود	3489	5.68	0.9570	3893
الرئيسة	3490	5.68	1.0190	8423
صدقنى	3491	5.68	1.2027	9535
الاف	3492	5.68	1.1147	6570
المكتب	3493	5.68	0.9355	1323
لايت	3494	5.68	0.9355	9881
أقوم	3495	5.68	0.8437	540
طبية	3496	5.68	1.3768	7070
أدرك	3497	5.68	0.8437	2952
مدرك	3498	5.68	1.0774	7688
ستظل	3499	5.68	1.0583	7340
تفكيرك	3500	5.68	0.9988	8688
اعمال	3501	5.68	1.0774	6797
القيام	3502	5.68	0.9988	611
بالعمل	3503	5.68	0.9134	1765
ادخل	3504	5.68	1.0388	1590
الموجة	3505	5.68	1.2362	9846
أشاهد	3506	5.68	0.7939	3957
غرفتها	3507	5.68	0.9134	9527
القاعة	3508	5.68	0.9570	5788
المجئ	3509	5.68	0.9781	7708
تناولت	3510	5.68	0.9355	5044
الموسم	3511	5.68	0.9134	3729
عندى	3512	5.68	0.9134	1651
تحدثت	3513	5.68	0.9570	1571
تتناول	3514	5.68	0.8437	7003
وتم	3515	5.68	1.0962	6355
أردت	3516	5.68	0.9781	339
يمكن	3517	5.68	1.2362	91
اصبح	3518	5.68	0.8192	1889
أمارس	3519	5.68	0.9134	6197
راسل	3520	5.68	0.9570	8462
السير	3521	5.68	0.8676	2504
لاحظت	3522	5.68	0.7939	2729
ساندي	3523	5.68	1.2526	5605
شاهدته	3524	5.68	0.8192	9183
البرامج	3525	5.68	1.2027	8693
التحدث	3526	5.68	0.9570	470
افتحوا	3527	5.68	0.9355	8342
طلبك	3528	5.68	0.9781	7207
وجه	3529	5.68	0.8676	1184
الجولة	3530	5.68	0.9988	3492
للمسيح	3531	5.68	1.6714	6645
الوادي	3532	5.68	1.2688	7685
سمعتي	3533	5.68	1.2027	7004
سترة	3534	5.68	0.9570	5967
لنتحدث	3535	5.68	1.0962	4852
يجدي	3536	5.68	0.9570	9528
