Word	Havg	StDev	GoogleRank
economic	2695	5.44	1.3426	5732
胞	2696	5.44	1.1980	7786
每年	2697	5.44	1.2643	933
纸币	2698	5.44	1.3874	5844
释	2699	5.44	1.3273	4712
合资	2700	5.44	1.0134	2409
定居	2701	5.44	1.2961	5476
无数	2702	5.44	1.0721	4788
岁	2703	5.44	1.3118	520
船上	2704	5.44	1.2316	5804
表情	2705	5.44	1.0529	8848
锐	2706	5.44	1.0910	8106
现今	2707	5.44	0.8609	9561
紧密	2708	5.44	1.0529	1996
转化	2709	5.44	1.2480	1791
乘客	2710	5.44	1.0333	7227
客车	2711	5.44	1.0333	7504
免疫	2712	5.44	1.2961	6105
上演	2713	5.44	1.3118	7801
得	2714	5.44	0.8843	233
构筑	2715	5.44	0.9930	6670
在学	2716	5.44	1.1980	9646
语音	2717	5.44	1.2149	6692
办法	2718	5.44	0.9510	389
白天	2719	5.44	1.0529	6653
影像	2720	5.44	0.9071	9942
深夜	2721	5.44	1.2316	7450
作物	2722	5.44	1.0134	2487
台湾	2723	5.44	1.1457	664
乡土	2724	5.44	1.4868	6390
泰国	2725	5.44	1.3874	3702
大连	2726	5.44	1.2480	6678
军官	2727	5.44	1.3577	3663
华南	2728	5.44	1.2316	5749
会员	2729	5.44	1.3273	2073
贸易	2730	5.44	1.1634	392
实情	2731	5.44	1.5274	9925
出场	2732	5.44	0.9723	8601
记得	2733	5.44	1.1634	3315
顺应	2734	5.44	1.0721	6232
可比	2735	5.44	1.0333	6163
酒店	2736	5.44	1.3118	5588
就读	2737	5.44	1.1278	8604
职守	2738	5.44	0.9723	6749
找到	2739	5.44	1.4450	1212
性格	2740	5.44	1.2480	2455
直接	2741	5.44	1.1980	322
忆	2742	5.44	1.1278	7781
养	2743	5.44	0.9723	2763
调整	2744	5.44	1.1278	530
放映	2745	5.44	1.0721	6197
解说	2746	5.44	1.4730	6967
举	2747	5.44	1.2316	2003
望	2748	5.44	0.8369	2511
器具	2749	5.44	0.9930	8407
海域	2750	5.44	1.0721	6014
率先	2751	5.44	1.1457	5673
奇	2752	5.44	1.2149	2608
奠定	2753	5.44	1.1808	2979
有意	2754	5.44	1.2316	4326
民俗	2755	5.44	1.1095	4064
身边	2756	5.44	1.2149	3686
海湾	2757	5.44	1.2961	5587
鞋	2758	5.44	1.3426	5976
行	2759	5.44	1.2149	357
同情	2760	5.44	1.3273	3738
鱼	2761	5.44	1.3726	2493
菜单	2762	5.44	1.0333	5001
淮海	2763	5.44	1.2961	9834
教室	2764	5.44	1.1278	6877
高尔基	2765	5.44	1.3874	7324
写照	2766	5.44	1.1278	8780
运转	2767	5.44	0.9293	3466
京	2768	5.44	1.0721	2468
首长	2769	5.44	1.1808	3872
east	2770	5.44	1.3273	9554
南海	2771	5.44	1.2149	5869
大河	2772	5.44	1.3726	9607
识字	2773	5.44	1.6183	6106
回来	2774	5.44	1.0333	1710
苏格兰	2775	5.44	1.3118	9617
咱们	2776	5.44	1.4450	5873
镜头	2777	5.44	1.2961	4518
比利时	2778	5.44	1.2643	6973
入	2779	5.44	1.0134	797
源	2780	5.44	1.0721	1972
人员	2781	5.44	1.3726	200
正月	2782	5.44	1.4309	7683
引入	2783	5.44	0.8609	4938
经济	2784	5.44	0.9510	17
植被	2785	5.44	1.1457	8605
编译	2786	5.44	1.1457	6791
备	2787	5.44	1.1808	1636
转型	2788	5.44	1.2480	3456
作者	2789	5.44	0.8843	754
谨	2790	5.44	1.3426	8453
扮演	2791	5.44	1.2149	4023
起点	2792	5.44	1.1808	3887
特约	2793	5.44	1.3426	9382
证	2794	5.44	1.1634	1081
一刻	2795	5.44	1.0333	5896
公布	2796	5.44	1.0910	1798
秩序	2797	5.44	1.1634	1162
参阅	2798	5.44	1.0134	8956
神学	2799	5.44	1.3577	6510
彼此	2800	5.44	1.0529	2292
猜想	2801	5.44	1.1808	9453
马上	2802	5.42	1.0897	2724
尽力	2803	5.42	1.5131	4506
家族	2804	5.42	1.2137	2673
肖像	2805	5.42	1.3716	9568
议和	2806	5.42	1.0897	9572
立项	2807	5.42	1.1265	9777
决策	2808	5.42	1.3566	855
现成	2809	5.42	1.1968	7486
各位	2810	5.42	1.1082	5537
着力	2811	5.42	1.0897	5967
美洲	2812	5.42	1.2469	2879
а	2813	5.42	1.1796	9597
听众	2814	5.42	0.9278	4831
天性	2815	5.42	0.9055	9782
杂志	2816	5.42	1.1968	1523
扶	2817	5.42	1.1082	6786
商量	2818	5.42	1.2631	5089
潜意识	2819	5.42	1.1445	8058
包含	2820	5.42	1.0515	1431
够	2821	5.42	1.0515	3164
链接	2822	5.42	1.0120	7853
初次	2823	5.42	1.2469	6218
到了	2824	5.42	1.0319	399
年春	2825	5.42	0.9278	3428
饮水	2826	5.42	1.2631	8227
塑造	2827	5.42	1.1968	2728
广义	2828	5.42	1.1622	4060
尔	2829	5.42	0.9495	670
饭店	2830	5.42	1.0897	3395
建造	2831	5.42	1.2137	3879
热带	2832	5.42	1.1082	5299
渔船	2833	5.42	0.9278	9545
雕塑	2834	5.42	0.9916	6305
简短	2835	5.42	1.1968	6426
北平	2836	5.42	1.1445	3865
mm	2837	5.42	1.0120	8462
宣告	2838	5.42	1.1445	3733
比拟	2839	5.42	1.0897	6493
草地	2840	5.42	1.2950	9573
视频	2841	5.42	0.9708	7768
必定	2842	5.42	1.1445	4207
方言	2843	5.42	1.3107	6792
累积	2844	5.42	1.1968	8596
戏剧	2845	5.42	1.2950	1700
分析	2846	5.42	0.8593	277
波斯	2847	5.42	0.8352	5431
题词	2848	5.42	1.2792	8922
视觉	2849	5.42	1.0708	5111
传递	2850	5.42	0.6417	2790
出资	2851	5.42	1.5265	3997
悄悄	2852	5.42	1.1265	5319
合计	2853	5.42	1.1622	6331
峰	2854	5.42	1.1968	9309
修正	2855	5.42	1.2631	2054
打印	2856	5.42	1.1622	6846
正式	2857	5.42	1.1265	929
充	2858	5.42	1.0708	4124
客户	2859	5.42	1.1265	1882
克林顿	2860	5.42	1.5398	5556
摘要	2861	5.42	0.9495	7774
加拿大	2862	5.42	1.3107	2664
策划	2863	5.42	1.0897	3934
调研	2864	5.42	0.9278	4800
古籍	2865	5.42	1.4995	6809
购	2866	5.42	1.4010	2717
著	2867	5.42	0.8827	3513
主旨	2868	5.42	0.7584	7621
类比	2869	5.42	1.1265	8948
侨民	2870	5.42	1.1622	8968
上课	2871	5.42	1.1622	7270
前夕	2872	5.42	1.1796	4290
用人	2873	5.42	1.1796	5363
得以	2874	5.42	1.2304	1881
录音机	2875	5.42	1.0120	7732
寓言	2876	5.42	1.2469	8134
常识	2877	5.42	1.1445	4369
发放	2878	5.42	0.9278	3040
法郎	2879	5.42	1.0319	7996
our	2880	5.42	1.2950	9703
核实	2881	5.42	1.4581	5477
注重	2882	5.42	1.1796	2242
明显	2883	5.42	1.1968	768
民族	2884	5.42	1.2631	176
晓	2885	5.42	0.9916	5962
群众	2886	5.42	1.0708	241
承载	2887	5.42	1.1265	9886
是	2888	5.42	0.9278	2
哥伦比亚	2889	5.42	1.3415	6813
一切	2890	5.42	0.9916	306
日向	2891	5.42	1.2469	8775
空前	2892	5.42	1.1622	3321
卢森堡	2893	5.42	1.3415	9976
加入	2894	5.42	1.3415	1879
家长	2895	5.42	1.4299	3564
文	2896	5.42	1.1622	622
原理	2897	5.42	1.1622	1884
演绎	2898	5.42	1.0319	6997
神色	2899	5.42	1.0319	7640
即时	2900	5.42	1.2137	8767
候选	2901	5.42	1.1082	3595
主人公	2902	5.42	1.1796	8869
存放	2903	5.42	1.0120	5812
见解	2904	5.42	1.0515	3442
华盛顿	2905	5.42	1.1265	4006
达	2906	5.42	0.9916	588
乔治	2907	5.42	1.1796	7152
培	2908	5.42	1.2950	4929
防护	2909	5.42	1.1445	6818
能动	2910	5.42	1.1082	7011
沿海	2911	5.42	1.2304	1856
成立	2912	5.42	1.3262	432
她们	2913	5.42	1.2950	1752
图案	2914	5.42	1.1622	8101
接收	2915	5.42	1.2792	2923
同年	2916	5.42	1.0897	2206
资	2917	5.42	1.1265	857
指导	2918	5.42	1.0120	532
五代	2919	5.42	1.3107	8523
书刊	2920	5.42	1.2950	6010
预言	2921	5.42	1.2950	5172
排名	2922	5.42	1.4721	6633
乡间	2923	5.42	1.3566	8925
大力	2924	5.42	1.0708	1391
穿着	2925	5.42	0.8352	5135
成为	2926	5.42	1.0708	230
兰州	2927	5.42	1.2137	6198
怀	2928	5.42	1.3716	4965
签名	2929	5.42	1.2950	4824
遵循	2930	5.42	1.1265	2364
声音	2931	5.42	0.9278	2499
城区	2932	5.42	1.2792	4162
逐步	2933	5.42	0.7584	671
起步	2934	5.42	1.1968	5072
广大	2935	5.42	1.5530	781
早	2936	5.42	1.5131	1374
地形	2937	5.42	0.9916	5544
锋	2938	5.42	1.1265	5374
中产	2939	5.42	1.0897	7573
大权	2940	5.42	1.4721	8061
无偿	2941	5.42	1.1082	4674
风格	2942	5.42	1.1968	1831
登载	2943	5.42	1.0120	9549
鼻	2944	5.42	1.2469	4282
四季	2945	5.42	1.4010	7719
航空器	2946	5.40	1.0102	8667
水库	2947	5.40	1.2289	6193
酿	2948	5.40	1.1249	7968
举办	2949	5.40	1.1066	1580
都会	2950	5.40	0.9476	2405
进而	2951	5.40	0.9476	2567
路线	2952	5.40	1.0498	926
比价	2953	5.40	1.0102	6388
investment	2954	5.40	1.0302	9684
词语	2955	5.40	0.8571	4241
相当	2956	5.40	0.9258	603
邮局	2957	5.40	1.2289	9199
会计	2958	5.40	1.0302	1581
构思	2959	5.40	1.2936	5805
亿	2960	5.40	1.5518	351
民国	2961	5.40	0.8806	1709
情节	2962	5.40	0.9258	2463
观点	2963	5.40	1.0690	581
海峡	2964	5.40	1.3401	4781
甲	2965	5.40	1.0690	6288
洋	2966	5.40	1.1606	5012
住宅	2967	5.40	1.6537	2110
作用	2968	5.40	0.9897	169
海尔	2969	5.40	1.1780	9798
远方	2970	5.40	1.2936	9820
南开	2971	5.40	1.3702	8066
拉萨	2972	5.40	1.2289	9946
摩托	2973	5.40	1.1429	5377
预备	2974	5.40	0.8571	3636
降雨	2975	5.40	1.5386	6585
高中	2976	5.40	1.0102	3553
牧场	2977	5.40	1.1429	6728
照	2978	5.40	0.9258	2414
飞机	2979	5.40	1.1606	2043
流动	2980	5.40	1.1952	1126
民	2981	5.40	1.0880	620
百货	2982	5.40	1.1429	4529
重心	2983	5.40	1.0880	5122
晓得	2984	5.40	0.8571	6681
后天	2985	5.40	1.1952	9574
比喻	2986	5.40	0.7559	4068
选举权	2987	5.40	1.2617	5662
发送	2988	5.40	0.9689	4931
粒子	2989	5.40	0.8806	8588
组建	2990	5.40	0.7825	3536
甘	2991	5.40	1.3248	5218
清	2992	5.40	1.3553	959
追随	2993	5.40	1.0102	6794
变幻	2994	5.40	1.2454	7887
all	2995	5.40	1.0498	5621
亩	2996	5.40	1.2454	1671
桌面	2997	5.40	1.0690	9431
退税	2998	5.40	1.4569	5971
三维	2999	5.40	0.6999	8126
技术性	3000	5.40	1.1780	6272
君主	3001	5.40	1.6162	4206
付出	3002	5.40	1.2122	2911
总结	3003	5.40	1.0302	1257
觉	3004	5.40	1.3401	2324
提炼	3005	5.40	1.2617	9419
英美	3006	5.40	1.1249	6606
金融	3007	5.40	1.2289	483
明	3008	5.40	1.3553	979
讲学	3009	5.40	1.3093	7316
研究员	3010	5.40	1.2617	4799
威廉	3011	5.40	1.2122	6827
等于	3012	5.40	1.1429	3338
往	3013	5.40	0.8806	1590
沈阳	3014	5.40	1.0102	3819
成人	3015	5.40	1.4142	3346
班级	3016	5.40	1.0102	7239
配置	3017	5.40	1.1606	1941
植	3018	5.40	1.0880	5281
贴近	3019	5.40	1.3997	9420
记载	3020	5.40	1.2122	1379
住宿	3021	5.40	0.8806	7071
思	3022	5.40	1.3401	2126
长期	3023	5.40	1.3553	611
核准	3024	5.40	1.1952	3834
靠近	3025	5.40	1.1606	8300
有关	3026	5.40	1.0302	203
补偿	3027	5.40	1.5518	2089
义务	3028	5.40	1.4708	978
文人	3029	5.40	1.3702	5189
跨	3030	5.40	0.8806	3152
入股	3031	5.40	1.0302	9871
专栏	3032	5.40	1.2289	7457
著述	3033	5.40	1.0880	9628
卢布	3034	5.40	1.3401	8645
座	3035	5.40	0.9897	2969
猛	3036	5.40	1.4428	7083
海军	3037	5.40	1.0302	2229
省	3038	5.40	1.0690	296
干脆	3039	5.40	1.0880	7445
data	3040	5.40	1.1952	8290
减轻	3041	5.40	1.5119	2803
内在	3042	5.40	0.9897	1814
气息	3043	5.40	1.1066	4957
深思	3044	5.40	1.3401	5952
革命家	3045	5.40	1.6660	5605
经贸	3046	5.40	1.2778	2623
长安	3047	5.40	1.1606	7155
亦	3048	5.40	1.2778	1707
大量	3049	5.40	1.1780	655
公关	3050	5.40	1.2122	7685
united	3051	5.40	1.2936	9846
纯粹	3052	5.40	1.2617	3634
约翰	3053	5.40	0.9035	5026
安徽	3054	5.40	1.0102	5497
呼吸	3055	5.40	1.0880	4634
罕见	3056	5.40	1.5779	4852
言行	3057	5.40	1.2617	9036
黄昏	3058	5.40	1.4983	7294
将要	3059	5.40	0.9035	4815
对话	3060	5.40	1.0102	2023
山东	3061	5.40	1.3401	1680
当日	3062	5.40	1.2122	6264
行动	3063	5.40	1.2778	683
战略	3064	5.40	0.9689	545
明年	3065	5.40	1.0498	4870
宪法	3066	5.40	1.2778	1364
讲师	3067	5.40	1.2778	6115
開始	3068	5.40	0.8081	8279
震撼	3069	5.40	1.7023	7108
双方	3070	5.40	0.8571	882
首届	3071	5.40	1.1780	8705
提起	3072	5.40	1.0880	3866
房子	3073	5.40	1.4428	2792
遵	3074	5.40	1.1952	7670
专项	3075	5.40	1.1780	3370
希腊	3076	5.40	1.3248	2438
最终	3077	5.40	1.5119	1184
津	3078	5.40	1.0880	8650
实处	3079	5.40	1.0880	8097
国产	3080	5.40	1.4569	5152
持续	3081	5.40	1.2778	1132
荷兰	3082	5.40	1.3851	3372
客厅	3083	5.40	1.0880	9069
国务卿	3084	5.40	1.0690	6748
屋子	3085	5.40	0.9476	5455
标明	3086	5.40	0.8330	9792
积	3087	5.40	0.8081	2860
人民	3088	5.40	1.3248	57
汉语	3089	5.40	1.5386	2166
联系	3090	5.40	0.9476	388
深度	3091	5.40	1.2617	3233
评比	3092	5.40	1.0880	7825
观众	3093	5.40	1.3553	1870
筹资	3094	5.40	1.4286	3993
前往	3095	5.40	1.1429	3502
长篇小说	3096	5.40	1.1066	7888
教书	3097	5.40	1.1066	8531
双向	3098	5.38	1.1761	5565
全	3099	5.38	1.3981	232
招聘	3100	5.38	1.1933	5170
涨	3101	5.38	1.4553	4986
新民	3102	5.38	1.2919	9675
房屋	3103	5.38	1.2103	1712
西班牙	3104	5.38	1.6399	3613
浙江	3105	5.38	1.1045	2291
保存	3106	5.38	1.2599	2093
新法	3107	5.38	1.2103	9888
电话	3108	5.38	1.0476	1023
白人	3109	5.38	1.5372	8476
呈	3110	5.38	1.0079	5593
相似	3111	5.38	1.2919	2165
more	3112	5.38	0.9010	7262
志愿军	3113	5.38	1.3686	8059
省内	3114	5.38	1.2436	7194
山脉	3115	5.38	1.3076	9551
个性	3116	5.38	1.6149	2075
商	3117	5.38	1.3981	662
缘故	3118	5.38	1.1586	4415
构建	3119	5.38	0.9666	4976
参加	3120	5.38	1.3536	354
皇帝	3121	5.38	1.6646	2253
显得	3122	5.38	1.0859	2995
史学	3123	5.38	1.1761	2410
聘请	3124	5.38	0.9666	4484
身子	3125	5.38	0.9452	6161
平凡	3126	5.38	1.2103	7466
各界	3127	5.38	1.1229	2682
出版	3128	5.38	1.1409	290
整个	3129	5.38	0.9452	541
知	3130	5.38	1.1761	1149
一心	3131	5.38	1.4553	7236
桥	3132	5.38	1.1045	5725
投标	3133	5.38	1.1229	4261
就绪	3134	5.38	0.8545	8855
指望	3135	5.38	1.1761	6480
元素	3136	5.38	1.0280	3931
欧元	3137	5.38	1.4412	7776
国民	3138	5.38	0.8545	391
大豆	3139	5.38	0.8053	7656
力	3140	5.38	1.1933	378
附近	3141	5.38	1.1761	1849
男女	3142	5.38	0.9875	2224
相近	3143	5.38	1.1229	5107
归	3144	5.38	0.9234	2961
莱	3145	5.38	1.1761	3691
护	3146	5.38	1.2271	2484
古人	3147	5.38	1.1409	5232
毗邻	3148	5.38	0.9875	9081
本部	3149	5.38	1.0476	7684
阿拉伯	3150	5.38	0.9452	2807
出门	3151	5.38	0.9010	6979
电气化	3152	5.38	1.2103	9427
江	3153	5.38	1.1409	2932
剧团	3154	5.38	1.0280	6255
阐释	3155	5.38	1.0859	6037
家具	3156	5.38	0.8303	6938
媒	3157	5.38	0.9452	9409
乘坐	3158	5.38	0.8303	8053
集体	3159	5.38	1.2919	604
邓小平	3160	5.38	1.5238	2298
荷	3161	5.38	1.2103	8864
回忆	3162	5.38	1.2436	3361
心态	3163	5.38	1.2271	5461
股本	3164	5.38	1.0859	8618
销售	3165	5.38	1.2599	800
全书	3166	5.38	1.3834	7090
履行	3167	5.38	0.8781	1902
挑选	3168	5.38	0.9875	4741
大同	3169	5.38	1.4968	7143
必需品	3170	5.38	1.3231	6939
挑战	3171	5.38	1.4968	2004
反响	3172	5.38	0.9666	4786
最近	3173	5.38	1.0280	1516
说话	3174	5.38	1.2271	3289
球	3175	5.38	1.1586	3727
课本	3176	5.38	1.0669	7846
宋	3177	5.38	1.0476	4157
表	3178	5.38	1.0476	710
素	3179	5.38	1.2599	2497
指明	3180	5.38	1.1586	4663
网页	3181	5.38	1.2103	7290
解读	3182	5.38	1.2271	8943
奉行	3183	5.38	1.1586	6018
专题	3184	5.38	0.9666	2715
实施	3185	5.38	0.9234	521
知道	3186	5.38	1.3231	358
空中	3187	5.38	0.8053	4860
陆续	3188	5.38	1.1409	3771
十月	3189	5.38	0.9875	2096
科普	3190	5.38	0.8545	7058
剧情	3191	5.38	1.2599	8840
勘察	3192	5.38	0.8545	7242
济南	3193	5.38	1.1409	5614
筹集	3194	5.38	1.0476	3667
黑龙江	3195	5.38	1.1409	2837
姿态	3196	5.38	1.0280	3833
莉	3197	5.38	1.1409	8322
布局	3198	5.38	1.2436	2338
稻田	3199	5.38	1.1229	7605
蕴含	3200	5.38	1.4553	7923
海面	3201	5.38	1.1409	7791
跟随	3202	5.38	1.1761	8362
主要	3203	5.38	0.7796	89
時間	3204	5.38	1.3384	7411
身影	3205	5.38	0.9666	7787
觉得	3206	5.38	0.7796	975
本性	3207	5.38	1.1933	4468
开头	3208	5.38	0.9875	5782
业余	3209	5.38	1.2103	4113
显现	3210	5.38	0.7796	4597
月初	3211	5.38	1.0280	2051
万	3212	5.38	1.0669	110
保	3213	5.38	0.9010	1407
大批	3214	5.38	1.1409	1928
基础	3215	5.38	0.9666	149
乒乓球	3216	5.38	1.1409	6179
营	3217	5.38	1.1761	1655
瞧	3218	5.38	1.1045	8975
宗旨	3219	5.38	1.3384	2378
公寓	3220	5.38	1.1409	7065
上空	3221	5.38	0.9666	8583
引进	3222	5.38	1.2271	1403
订阅	3223	5.38	0.8303	9135
效果	3224	5.38	1.2103	903
周边	3225	5.38	1.2599	4926
social	3226	5.38	1.1229	7317
脑子	3227	5.38	1.1933	5415
电	3228	5.38	0.9875	1106
颁布	3229	5.38	1.2436	2322
都市	3230	5.38	1.1761	4243
饮料	3231	5.38	1.1761	5329
向导	3232	5.36	0.7762	8205
想方设法	3233	5.36	1.3516	9485
总计	3234	5.36	0.8020	8303
讲解	3235	5.36	0.9638	8358
印象	3236	5.36	1.2578	2150
许多	3237	5.36	1.3962	263
财团	3238	5.36	1.3211	7167
呼吁	3239	5.36	1.1739	3596
萬	3240	5.36	1.1563	6590
指南	3241	5.36	1.2081	5390
项目	3242	5.36	0.9848	412
播放	3243	5.36	0.8514	6053
调节	3244	5.36	0.8271	1273
写字	3245	5.36	1.1563	9041
承	3246	5.36	1.0254	3431
职称	3247	5.36	1.2081	4726
性能	3248	5.36	1.5354	2722
招募	3249	5.36	1.2081	8865
英里	3250	5.36	1.0053	7538
组合	3251	5.36	1.1021	2228
缓解	3252	5.36	1.2081	4084
一定	3253	5.36	1.3056	210
轮流	3254	5.36	0.9848	9052
重任	3255	5.36	1.2415	6458
料	3256	5.36	1.0451	1667
描写	3257	5.36	1.0254	2346
原則	3258	5.36	1.2898	7306
模样	3259	5.36	1.0053	6436
专职	3260	5.36	1.5487	4067
罗马尼亚	3261	5.36	1.3056	5447
预	3262	5.36	1.2415	2906
大都	3263	5.36	1.0254	3653
行政区	3264	5.36	1.2739	2987
定义	3265	5.36	0.8751	1668
展览	3266	5.36	1.2578	2973
将	3267	5.36	1.1911	102
参考	3268	5.36	1.3365	1550
宣传	3269	5.36	1.2578	776
吉林	3270	5.36	1.5086	3756
并存	3271	5.36	1.0645	4583
发言	3272	5.36	1.0451	1931
抚养	3273	5.36	1.5487	5414
力度	3274	5.36	0.8514	2805
因素	3275	5.36	1.0835	450
如果	3276	5.36	1.3365	172
生态	3277	5.36	1.2898	1397
古代	3278	5.36	1.3056	1410
预期	3279	5.36	0.8271	2431
认识	3280	5.36	1.4675	279
study	3281	5.36	1.3365	7323
你	3282	5.36	1.3056	138
构成	3283	5.36	1.0451	835
平原	3284	5.36	1.1739	5227
用处	3285	5.36	1.3815	6983
相机	3286	5.36	1.3667	8146
性	3287	5.36	1.4107	51
刊物	3288	5.36	1.2578	2658
偶然性	3289	5.36	1.2578	7667
成	3290	5.36	1.2578	145
主席	3291	5.36	1.1911	594
大国	3292	5.36	1.4251	2642
year	3293	5.36	0.8981	6146
功能	3294	5.36	0.7762	706
业内	3295	5.36	1.1563	7833
满腔	3296	5.36	1.4107	8738
封面	3297	5.36	0.9205	7184
八路	3298	5.36	1.6874	5748
具体	3299	5.36	0.9848	309
合	3300	5.36	0.8514	946
灯	3301	5.36	0.7494	6229
涨幅	3302	5.36	1.4813	9605
周刊	3303	5.36	1.1739	4996
让	3304	5.36	1.0451	629
笔记本	3305	5.36	1.2739	9996
继续	3306	5.36	1.0254	481
天津	3307	5.36	1.0835	2140
起初	3308	5.36	1.2415	8263
本人	3309	5.36	1.2249	2449
场所	3310	5.36	0.8751	2947
开	3311	5.36	1.2898	518
依法	3312	5.36	1.2081	1468
巨大	3313	5.36	1.6507	829
research	3314	5.36	1.1386	7586
筹备	3315	5.36	0.8020	2818
产值	3316	5.36	1.0254	956
逻辑	3317	5.36	1.1205	1261
新近	3318	5.36	0.8271	9707
建	3319	5.36	1.4251	834
跨国	3320	5.36	1.2249	2325
课	3321	5.36	1.1021	2471
自家	3322	5.36	0.9205	9476
眼前	3323	5.36	1.0835	2989
机车	3324	5.36	0.8981	9079
车子	3325	5.36	1.1021	9166
感官	3326	5.36	1.2415	8127
确	3327	5.36	0.8271	1546
中型	3328	5.36	0.9848	2816
巩固	3329	5.36	1.3516	1221
显微镜	3330	5.36	1.3516	9666
特	3331	5.36	1.2415	715
联邦	3332	5.36	1.0835	1915
产量	3333	5.36	1.1386	1237
估量	3334	5.36	1.1205	7837
水上	3335	5.36	1.1021	8311
再来	3336	5.36	1.5221	6211
食品	3337	5.36	0.9638	1467
扫盲	3338	5.36	1.2415	8797
千年	3339	5.36	1.2249	2392
丹麦	3340	5.36	1.1386	6240
以便	3341	5.36	1.1739	1459
八	3342	5.36	1.2739	228
人间	3343	5.36	1.2739	3694
运河	3344	5.36	1.3211	8316
有	3345	5.36	1.0254	9
依据	3346	5.36	0.7494	972
证实	3347	5.36	1.2081	3388
电车	3348	5.36	1.2249	7795
手臂	3349	5.36	1.0254	8755
钥	3350	5.36	0.8981	9944
date	3351	5.36	1.1563	7124
传统	3352	5.36	0.9848	386
事物	3353	5.36	0.8981	1000
讲述	3354	5.36	0.9638	5169
大陆	3355	5.36	1.0254	1630
相同	3356	5.36	1.3056	877
山坡	3357	5.36	1.0835	6420
外籍	3358	5.36	1.3667	7252
判断	3359	5.36	1.0053	1628
必需	3360	5.36	1.2415	3218
感到	3361	5.36	0.9205	874
积分	3362	5.36	1.2578	6834
方案	3363	5.36	0.8514	915
弥补	3364	5.36	1.3962	2922
绘	3365	5.36	0.8271	9174
合伙	3366	5.36	1.4950	4447
解	3367	5.36	1.1739	1362
无穷	3368	5.36	1.3815	5910
律师	3369	5.36	1.2081	2168
从新	3370	5.36	0.8020	7980
造	3371	5.36	0.8514	1654
地中海	3372	5.36	1.0645	9603
承办	3373	5.36	1.1205	6231
education	3374	5.34	1.4230	8963
农作物	3375	5.34	1.1359	5292
加以	3376	5.34	1.0224	844
招呼	3377	5.34	1.4086	9799
买	3378	5.34	1.0806	1992
极力	3379	5.34	1.3494	5031
率	3380	5.34	0.8947	529
牢记	3381	5.34	1.1886	7855
接种	3382	5.34	0.9817	9793
再现	3383	5.34	1.1886	4766
神秘	3384	5.34	1.3793	4032
确切	3385	5.34	1.5598	3770
掌	3386	5.34	1.1713	6542
事迹	3387	5.34	1.2554	7689
日常	3388	5.34	1.0224	1861
田径	3389	5.34	1.0224	8912
农业	3390	5.34	0.7982	177
上方	3391	5.34	1.0224	8343
秘鲁	3392	5.34	0.9817	9465
鹏	3393	5.34	1.1359	5325
万里	3394	5.34	1.2554	9647
补救	3395	5.34	1.3342	5916
虎	3396	5.34	1.0616	9345
大厦	3397	5.34	1.2875	7114
表达	3398	5.34	1.1713	1504
對	3399	5.34	1.2554	4715
字	3400	5.34	0.8478	1201
编织	3401	5.34	0.8478	9313
挽回	3402	5.34	1.4930	6601
冰川	3403	5.34	1.4086	9981
淡淡	3404	5.34	1.3644	8529
with	3405	5.34	1.1537	3213
基因	3406	5.34	1.3342	4767
环绕	3407	5.34	1.4654	8521
渡	3408	5.34	1.2875	6481
穿	3409	5.34	1.0422	3637
妥	3410	5.34	1.0616	3135
演	3411	5.34	1.4230	4044
传送	3412	5.34	1.1537	5904
历史	3413	5.34	1.6113	105
月刊	3414	5.34	1.0022	7014
细胞	3415	5.34	0.9392	2893
用意	3416	5.34	0.8478	9295
速	3417	5.34	1.2875	3108
may	3418	5.34	1.4086	6162
平息	3419	5.34	1.1537	8092
篇章	3420	5.34	0.8478	7015
延伸	3421	5.34	1.1359	3577
综合	3422	5.34	1.1178	595
激光	3423	5.34	1.1713	7808
特意	3424	5.34	1.4514	9765
右	3425	5.34	1.3494	2965
物资	3426	5.34	0.9817	1561
同步	3427	5.34	0.9607	3482
查阅	3428	5.34	1.0022	5938
储量	3429	5.34	0.9607	6966
仓储	3430	5.34	1.0994	6245
罗伯特	3431	5.34	1.1537	8671
担当	3432	5.34	1.2056	7913
果然	3433	5.34	1.2390	7587
职业	3434	5.34	1.1886	1001
此刻	3435	5.34	1.0224	4948
文官	3436	5.34	0.9392	9291
法国	3437	5.34	1.2554	1108
自行车	3438	5.34	1.4373	4155
大人	3439	5.34	1.2390	6695
例如	3440	5.34	1.4230	599
方方面面	3441	5.34	1.1359	8299
姓	3442	5.34	1.1537	7553
村落	3443	5.34	0.8478	6762
给	3444	5.34	1.4230	237
匈牙利	3445	5.34	1.1886	4752
countries	3446	5.34	1.0994	9446
团员	3447	5.34	1.1886	9312
同行	3448	5.34	0.9607	5364
主宰	3449	5.34	1.3342	6478
导向	3450	5.34	1.0422	3724
华中	3451	5.34	1.0022	6621
帽子	3452	5.34	1.1359	7549
北部	3453	5.34	1.3940	3883
真人	3454	5.34	1.3793	9516
主题	3455	5.34	1.0994	1767
收集	3456	5.34	1.0422	2215
华东	3457	5.34	1.0806	4347
事宜	3458	5.34	1.1713	3227
民权	3459	5.34	1.0994	6841
竹	3460	5.34	0.9607	6019
洗衣机	3461	5.34	1.2224	7231
音像	3462	5.34	0.9817	8969
汇价	3463	5.34	1.2056	8993
财经	3464	5.34	1.2554	3677
绩	3465	5.34	0.8947	6532
